#Transcript position	Transcript coverage profile
0.0	16229.777240521415
1.0	18894.204593564224
2.0	19935.5850813207
3.0	22248.312613141225
4.0	24931.90240776531
5.0	27884.291174238522
6.0	30281.030968346742
7.0	31754.475976506914
8.0	33603.7224587983
9.0	35089.077715264146
10.0	36224.99826105501
11.0	37414.89956520988
12.0	38816.20563422544
13.0	39625.45746934492
14.0	39742.381188038016
15.0	39725.10070380742
16.0	39544.40933327785
17.0	39636.94198526666
18.0	39913.89321162026
19.0	40276.40907523042
20.0	40718.64698280044
21.0	40774.191001007406
22.0	40924.55356717622
23.0	41184.7683892559
24.0	40654.99537134344
25.0	40137.80010932768
26.0	39853.204539146536
27.0	39757.62991377112
28.0	39900.94235091913
29.0	39772.037495758384
30.0	39748.81789569351
31.0	39922.4872890473
32.0	40071.67765961016
33.0	40352.05475759915
34.0	40527.23792239568
35.0	40785.25166527226
36.0	40932.345468789805
37.0	40817.12742998376
38.0	40628.93625593341
39.0	40124.49980536004
40.0	39913.47575095459
41.0	39756.35641384131
42.0	39285.36727292756
43.0	39167.591830121906
44.0	39130.24203155534
45.0	39180.72780352416
46.0	39090.67820956139
47.0	39216.029930348814
48.0	39217.28388534186
49.0	38961.991150610585
50.0	38652.787231874056
51.0	38317.47035114952
52.0	37946.28809906526
53.0	37726.66026962867
54.0	37664.8667055286
55.0	37691.88018982179
56.0	37597.05206453015
57.0	37805.47643785778
58.0	37667.22163565455
59.0	37563.91326482982
60.0	37531.405305625776
61.0	37182.96840256875
62.0	36782.010191634974
63.0	36517.65064401264
64.0	36341.155411308304
65.0	35868.510613657294
66.0	35708.97342839329
67.0	35560.35581622982
68.0	35537.520504719614
69.0	35667.3618317775
70.0	35773.91249377048
71.0	35935.45001379335
72.0	36030.599245009354
73.0	36077.47091383262
74.0	36150.66386366481
75.0	36112.322085739856
76.0	36201.50505356454
77.0	36263.79140737057
78.0	35961.45070129344
79.0	35967.67644966369
80.0	35778.67325968485
81.0	35826.32046287716
82.0	35611.242506853225
83.0	35256.519226464356
84.0	34599.30945743067
85.0	34203.42880545733
86.0	33917.824491580395
87.0	33541.821008565086
88.0	33121.43163154537
89.0	32042.545249880957
90.0	30968.799156843812
91.0	30079.05157667587
92.0	28974.10042350276
93.0	27334.969967441648
94.0	25209.214735165973
95.0	22095.17318612362
96.0	17728.226196836717
97.0	12572.14853494901
98.0	7131.3363857324775
99.0	2104.4091917579995
