"ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ENSG00000287335",13.2372315813574,1.27341009808856,0.525497218315173,0.00421790542035588,0.0131436271435996,NA
"ENSG00000188820",3.39723039316854,2.12403555257608,1.02876795301948,0.00424843353494834,0.0132302301704328,"CALHM6"
"ENSG00000167037",19.0760281499163,1.03997839495289,0.402433068678477,0.00424887453381592,0.0132302301704328,"SGSM1"
"ENSG00000081985",12.2984318177141,-1.8786248528939,0.894179044214127,0.00427868436809693,0.0133130966760439,"IL12RB2"
"ENSG00000139220",3.38134622094369,2.12794913966429,1.0220650518476,0.00432688618855197,0.0134530232317,"PPFIA2"
"ENSG00000294470",2.43551592097514,2.63317246736306,1.31307171527304,0.00433707320799263,0.0134806699189607,NA
"ENSG00000176732",1.96787516302729,-2.59942155556935,1.4799676309885,0.00441315416266489,0.0137008841221599,"PFN4"
"ENSG00000269176",4.83880534506809,-1.98098566048741,0.90199914551331,0.00441318646059871,0.0137008841221599,NA
"ENSG00000185433",2.21161968935582,4.35187375072398,2.94496915192814,0.00441677839544493,0.0137099909668656,"LINC00158"
"ENSG00000219642",2.13206246253062,-2.89526088030364,1.72598672144778,0.00445686197122735,0.0138261673936794,"BMPR1AP1"
"ENSG00000111863",37.2766438743951,1.02847969480434,0.403594010935996,0.00445899786643873,0.0138286722153118,"ADTRP"
"ENSG00000290926",16.1832243653767,-1.00852947594258,0.387717130575899,0.00445840972503037,0.0138286722153118,"LINC03006"
"ENSG00000260123",2.03963632110926,-4.3841811204678,3.0126809459763,0.00448398647931336,0.0139040980805518,NA
"ENSG00000118690",10.8710381429612,-1.36091108025054,0.581421494503343,0.00450050148257282,0.0139532301363639,"ARMC2"
"ENSG00000277511",2.49192281762999,2.27582403073555,1.09413578379351,0.00450893081168467,0.0139772826933388,NA
"ENSG00000272438",8.13922920089588,-1.80872042607289,0.812493120170795,0.00451256902304199,0.0139864782627231,NA
"ENSG00000176887",22.7483572552421,1.37135150252084,0.58183399469875,0.00451525357788821,0.0139927157246286,"SOX11"
"ENSG00000301878",9.50870622883896,1.40504420183371,0.595983995205225,0.00454745255673125,0.0140841140700071,NA
"ENSG00000165449",6.30261358962857,-1.84937126382588,0.863218600821031,0.00456573322774992,0.01413232234144,"SLC16A9"
"ENSG00000189046",22.9375514782657,-1.05044988930396,0.414839532663866,0.00457168687082584,0.0141444763800162,"ALKBH2"
"ENSG00000159251",7.04529390401155,-1.65388764676121,0.740635696906164,0.00457169804318792,0.0141444763800162,"ACTC1"
"ENSG00000290923",19.7236806035206,-1.10436073843849,0.434865408557965,0.00457431073791365,0.0141504569468981,"PGM5P2"
"ENSG00000166803",5.4909728814245,-1.76071963943824,0.805303296475827,0.00459702491981785,0.0142139928104854,"PCLAF"
"ENSG00000285895",1.87575529737997,4.29204662124539,2.94163702664585,0.00460664115805535,0.0142377764651951,NA
"ENSG00000234171",16.1757047187478,-1.04352866177837,0.408654163685115,0.00463544093593519,0.0143127939011551,"RNASEH1-DT"
"ENSG00000279649",5.00172983168121,1.63429638201164,0.732229791810889,0.00464108101533505,0.0143250801568955,NA
"ENSG00000198901",4.70331511765495,-1.76434119873201,0.815230696356257,0.00465072932959836,0.0143506052931537,"PRC1"
"ENSG00000164663",9.40571010900172,1.238408205102,0.506417140939403,0.00465295960554397,0.0143553595180528,"USP49"
"ENSG00000276462",1.87341306311874,4.04417652553156,2.77690060874158,0.00466693365018887,0.0143899424856757,"LINC03025"
"ENSG00000229336",1.4752128657788,4.01974495111026,2.75429901083028,0.0046668236050261,0.0143899424856757,NA
"ENSG00000290927",21.63076301502,1.33746012362728,0.563215779550675,0.00468702064531632,0.0144454600762162,"CLUHP3"
"ENSG00000291124",5.96052590598693,1.52290676519174,0.660735683954185,0.00470234799471669,0.0144862655966272,"CCT6P1"
"ENSG00000260941",2.44276907279183,2.18192727430626,1.01643544587199,0.00471073749305243,0.0145078171402158,"LINC00622"
"ENSG00000285906",12.0037017845822,1.27875629097182,0.52717322856106,0.00471617943127602,0.0145224285726572,"LOC102723663"
"ENSG00000223393",4.65243452768649,1.71071097228464,0.763524709540938,0.00471993967952967,0.01453185805799,NA
"ENSG00000065361",2.53671227065733,-3.97176533534691,2.72359328482101,0.00473506474645021,0.0145698293149014,"ERBB3"
"ENSG00000291069",8.48492852006295,-1.28468691020218,0.533671749942219,0.00473656240564616,0.0145722613747817,"BMS1P1"
"ENSG00000262406",5.99127511506065,2.0034762728713,0.970159728589017,0.00474195634279465,0.0145867005172343,"MMP12"
"ENSG00000261114",1.66446699024484,3.69927344285731,2.58280358796062,0.00474294506672215,0.0145875865480999,NA
"ENSG00000273416",2.6444911483229,2.08887187182936,1.01957383382356,0.00477698973996441,0.0146814510475818,NA
"ENSG00000280099",3.12512629836743,-2.64794488878293,1.57776069178915,0.00478322423295514,0.0146984421115709,NA
"ENSG00000206559",9.46570257265015,1.49878909247836,0.66307697225213,0.00478561908526114,0.014703631011814,"ZCWPW2"
"ENSG00000138316",18.7849716260022,-1.53323513875034,0.696297609939474,0.0047987610380262,0.0147418335621466,"ADAMTS14"
"ENSG00000299199",5.31764538068046,-1.66753481602051,0.731412608845869,0.00480460030017445,0.0147572036319255,NA
"ENSG00000227165",3.46825626421605,2.16967396582392,1.03469194911531,0.00483497918154648,0.0148421456179027,"WDR11-DT"
"ENSG00000108387",7.88566055289459,-1.41383341676829,0.599383863555388,0.0048523543079119,0.014888896733444,"SEPTIN4"
"ENSG00000106327",8.1398078946301,-1.50596688474102,0.659311454218418,0.00486603337308047,0.0149242705943079,"TFR2"
"ENSG00000162643",8.12196858881907,-1.53739363160974,0.678304000468045,0.00486816140143219,0.0149282028529381,"DNAI3"
"ENSG00000222011",10.6121814189217,-1.28422132221262,0.531627769299515,0.00488251948878557,0.0149616092489,"FAM185A"
"ENSG00000224543",3.44987923347773,2.91559933183488,1.75209270415997,0.00488438737248218,0.014963346470219,NA
"ENSG00000271452",3.25402451103372,-2.16201426381384,1.00229252739963,0.0048904216375898,0.0149792096620541,NA
