#Transcript position	Transcript coverage profile
0.0	8391.014957572197
1.0	9803.952609336304
2.0	10373.261999942457
3.0	11510.250955388336
4.0	12909.7468342115
5.0	14711.873557692606
6.0	16017.982515713358
7.0	16784.150246887162
8.0	17773.674223954895
9.0	18680.231079575686
10.0	19211.0843983298
11.0	19451.23580109733
12.0	19841.827279838155
13.0	20036.65598139498
14.0	19988.993469226247
15.0	19920.314775349492
16.0	19907.846630690252
17.0	20051.202092555668
18.0	20103.92004226908
19.0	20095.157660249
20.0	20143.361043815068
21.0	20116.349380425618
22.0	20267.77480861674
23.0	20431.954350385313
24.0	20015.451555094984
25.0	19640.562484741546
26.0	19533.245311473376
27.0	19428.11010405709
28.0	19404.904795035385
29.0	19301.243041055863
30.0	19396.46071797476
31.0	19487.30137512433
32.0	19594.86363275935
33.0	19710.704124993037
34.0	19736.55900380432
35.0	19750.92197521073
36.0	19707.13228643693
37.0	19626.45277528535
38.0	19663.973462809245
39.0	19422.07761868287
40.0	19298.093044290054
41.0	19245.59497917761
42.0	19068.062741406422
43.0	19072.70544184591
44.0	19059.064013547486
45.0	18999.177396095383
46.0	18921.729117572333
47.0	18969.63753938699
48.0	18823.40739070536
49.0	18703.974736442964
50.0	18451.825994258703
51.0	18362.037425574777
52.0	18234.2040513596
53.0	18259.045150848073
54.0	18332.880907084436
55.0	18390.319151507058
56.0	18371.564319645342
57.0	18452.282385129187
58.0	18367.82708303637
59.0	18161.183062650503
60.0	18118.001185939833
61.0	17867.675413867953
62.0	17697.833425620614
63.0	17494.465963615945
64.0	17475.35486705322
65.0	17216.594158069114
66.0	17111.04554269858
67.0	17163.403904052993
68.0	17117.420186794418
69.0	17059.488274933676
70.0	17007.93584246249
71.0	17073.29377758248
72.0	17138.19722253602
73.0	17073.713082520888
74.0	17047.764982735887
75.0	16929.930193991753
76.0	17018.60632817263
77.0	17213.372403740257
78.0	17238.7353246796
79.0	17305.4560004386
80.0	17069.823512844465
81.0	17002.641602706506
82.0	16775.885086088216
83.0	16377.68971891598
84.0	15850.638607133493
85.0	15641.82939113981
86.0	15543.904379685755
87.0	15363.8949159953
88.0	15223.652931455808
89.0	14815.643471066269
90.0	14442.903517167913
91.0	14181.046570681108
92.0	13823.180352999592
93.0	13375.096029274435
94.0	12537.723298142802
95.0	10978.6772615347
96.0	8887.966649491771
97.0	6324.0187732140375
98.0	3534.5394601457947
99.0	1050.3115484513728
