#Transcript position	Transcript coverage profile
0.0	15115.374074927237
1.0	17829.317321961025
2.0	18938.6280711475
3.0	21036.566172725652
4.0	23376.47416445919
5.0	26071.29364830284
6.0	28368.575702035356
7.0	29806.3024610355
8.0	31496.4322268397
9.0	32872.267243361144
10.0	33944.42435570147
11.0	35129.61838556943
12.0	36500.30299604909
13.0	37222.51120178895
14.0	37307.70049255772
15.0	37382.116521494994
16.0	37101.001712269215
17.0	37111.60694696657
18.0	37462.462623374886
19.0	37710.23683061926
20.0	38102.748510251506
21.0	38143.59755514901
22.0	38240.54590445665
23.0	38433.62037084829
24.0	37784.934911358774
25.0	37100.552494186515
26.0	36678.66474908681
27.0	36521.110054455945
28.0	36558.99022393751
29.0	36468.5852541287
30.0	36431.810902756624
31.0	36532.051498294655
32.0	36640.79265199498
33.0	36872.52964729247
34.0	37004.595225867764
35.0	37183.160735880156
36.0	37356.412993317004
37.0	37294.80032589736
38.0	37140.62971750637
39.0	36664.00975554767
40.0	36408.473907688895
41.0	36246.12712319257
42.0	35792.43328955352
43.0	35720.33807302194
44.0	35666.86954429127
45.0	35746.24943545615
46.0	35736.9668061148
47.0	35909.19747536646
48.0	35970.820869611045
49.0	35704.65117496546
50.0	35375.12423835111
51.0	35132.99913532468
52.0	34824.00699528006
53.0	34597.88086908044
54.0	34515.94542749745
55.0	34450.989324517475
56.0	34308.88240489945
57.0	34387.962141273034
58.0	34197.82674072904
59.0	34150.54024928508
60.0	34217.97321200291
61.0	34027.00256996542
62.0	33729.642085900814
63.0	33587.115797570164
64.0	33468.4213591357
65.0	33077.323284933154
66.0	32851.020223996595
67.0	32624.734624560493
68.0	32535.847863928837
69.0	32511.376188669943
70.0	32570.522867138512
71.0	32617.518517916265
72.0	32660.79808180938
73.0	32770.73407766217
74.0	32758.373790930757
75.0	32705.898920180207
76.0	32710.97086129165
77.0	32735.101633895596
78.0	32580.741828321923
79.0	32642.732967232154
80.0	32477.825558054577
81.0	32475.05650641725
82.0	32253.740001727834
83.0	31956.217062942906
84.0	31369.134249335188
85.0	31001.11741582219
86.0	30654.562782346296
87.0	30347.32197000557
88.0	29864.454599391844
89.0	28813.6900451
90.0	27740.223531416912
91.0	26859.986331110955
92.0	25801.90868370603
93.0	24175.395307854116
94.0	22179.620215021267
95.0	19362.47629911803
96.0	15477.19938403511
97.0	10940.899487262797
98.0	6185.023106537665
99.0	1819.0883533903238
