#Transcript position	Transcript coverage profile
0.0	19953.06480001538
1.0	22972.273583473863
2.0	24178.63279622701
3.0	26882.28296842893
4.0	30190.002900771997
5.0	34589.41195107736
6.0	37409.91172029025
7.0	39014.21038820859
8.0	41220.089592300974
9.0	43259.62158168414
10.0	44363.72574184238
11.0	44979.157555805745
12.0	45915.689569131
13.0	46494.99077288582
14.0	46338.79970398625
15.0	46128.61099276711
16.0	46380.34284433552
17.0	46760.863680961105
18.0	46685.69103637682
19.0	46595.26913225969
20.0	46649.09538395876
21.0	46495.80568085792
22.0	46745.627370880284
23.0	47079.99890486863
24.0	46032.93239932153
25.0	45226.40168515939
26.0	45085.61178394688
27.0	44948.63429797603
28.0	44961.66042352806
29.0	44608.09611182181
30.0	44819.47336204398
31.0	45078.15781781117
32.0	45355.72849330163
33.0	45555.49455765313
34.0	45530.48254087624
35.0	45533.01157682165
36.0	45420.11423343259
37.0	45210.47081095198
38.0	45290.96589205009
39.0	44745.316100768505
40.0	44473.51014098445
41.0	44323.3309245469
42.0	43943.142174026674
43.0	44041.75884672169
44.0	44103.923559998795
45.0	43980.92948468853
46.0	43680.44766200356
47.0	43789.12164901352
48.0	43460.75306160218
49.0	43202.42825904973
50.0	42511.34584508273
51.0	42202.517283976995
52.0	41847.54280719736
53.0	41992.50670837751
54.0	42177.9956951688
55.0	42245.80526588473
56.0	42124.993704526634
57.0	42272.937105412704
58.0	42019.29789304488
59.0	41483.996682186276
60.0	41348.974248606246
61.0	40745.791425422445
62.0	40456.71885953844
63.0	40063.9976283082
64.0	39946.13038820146
65.0	39367.63115155846
66.0	39180.82079929357
67.0	39303.07945951772
68.0	39246.978893608095
69.0	39329.6948316343
70.0	39272.25200883098
71.0	39537.120782696555
72.0	39878.994013800795
73.0	39672.36365732893
74.0	39619.11491886245
75.0	39250.10919028031
76.0	39554.22714974605
77.0	40006.18834247852
78.0	39858.618992025964
79.0	40004.53026932036
80.0	39364.511602169325
81.0	39367.631003073606
82.0	38893.44812664151
83.0	37895.71518136065
84.0	36670.327164533934
85.0	36391.949755452566
86.0	36345.777223284276
87.0	35825.290535942855
88.0	35659.56810730824
89.0	34690.75494724441
90.0	33835.5909911796
91.0	33183.406225667444
92.0	32167.80413174656
93.0	31176.04781947659
94.0	29334.722050413016
95.0	25800.0269287116
96.0	21009.270205791054
97.0	15064.815613523417
98.0	8600.682254758547
99.0	2561.5413366503585
