Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR1039518_pass_1	(2.0, 2823.0)	(3.0, 1674.0)	(4.0, 2850.0)	(5.0, 4392.0)	(6.0, 8437.0)	(7.0, 14661.0)	(8.0, 19683.0)	(9.0, 24896.0)	(10.0, 25547.0)	(11.0, 28514.0)	(12.0, 30812.0)	(13.0, 33761.0)	(14.0, 37174.0)	(15.0, 40142.0)	(16.0, 44714.0)	(17.0, 49905.0)	(18.0, 55527.0)	(19.0, 63137.0)	(20.0, 71971.0)	(21.0, 82286.0)	(22.0, 96069.0)	(23.0, 111238.0)	(24.0, 130661.0)	(25.0, 154072.0)	(26.0, 183766.0)	(27.0, 224534.0)	(28.0, 274852.0)	(29.0, 341328.0)	(30.0, 424588.0)	(31.0, 533970.0)	(32.0, 675326.0)	(33.0, 870051.0)	(34.0, 1169237.0)	(35.0, 1599262.0)	(36.0, 2309420.0)	(37.0, 3423148.0)	(38.0, 4943038.0)	(39.0, 6538131.0)	(40.0, 5795603.0)
SRR1039518_pass_2	(2.0, 106876.0)	(3.0, 21909.0)	(4.0, 24049.0)	(5.0, 26237.0)	(6.0, 29287.0)	(7.0, 31627.0)	(8.0, 34057.0)	(9.0, 37180.0)	(10.0, 38973.0)	(11.0, 42488.0)	(12.0, 46266.0)	(13.0, 49352.0)	(14.0, 52783.0)	(15.0, 54682.0)	(16.0, 57627.0)	(17.0, 60783.0)	(18.0, 64391.0)	(19.0, 70003.0)	(20.0, 77937.0)	(21.0, 87420.0)	(22.0, 98689.0)	(23.0, 112991.0)	(24.0, 132525.0)	(25.0, 155925.0)	(26.0, 184346.0)	(27.0, 220232.0)	(28.0, 264003.0)	(29.0, 318443.0)	(30.0, 388993.0)	(31.0, 481027.0)	(32.0, 602618.0)	(33.0, 777915.0)	(34.0, 1051553.0)	(35.0, 1452018.0)	(36.0, 2134267.0)	(37.0, 3271405.0)	(38.0, 4867599.0)	(39.0, 6559199.0)	(40.0, 6353525.0)
SRR1039519_pass_1	(2.0, 2460.0)	(3.0, 1233.0)	(4.0, 2047.0)	(5.0, 3188.0)	(6.0, 5690.0)	(7.0, 9957.0)	(8.0, 13362.0)	(9.0, 16843.0)	(10.0, 17206.0)	(11.0, 18913.0)	(12.0, 20483.0)	(13.0, 22235.0)	(14.0, 24903.0)	(15.0, 26975.0)	(16.0, 29932.0)	(17.0, 33625.0)	(18.0, 37385.0)	(19.0, 42453.0)	(20.0, 48762.0)	(21.0, 55443.0)	(22.0, 64088.0)	(23.0, 73169.0)	(24.0, 86705.0)	(25.0, 101117.0)	(26.0, 121517.0)	(27.0, 148181.0)	(28.0, 181208.0)	(29.0, 225457.0)	(30.0, 282652.0)	(31.0, 356901.0)	(32.0, 450974.0)	(33.0, 582397.0)	(34.0, 785521.0)	(35.0, 1083951.0)	(36.0, 1587134.0)	(37.0, 2432588.0)	(38.0, 3599267.0)	(39.0, 4941816.0)	(40.0, 4582197.0)
SRR1039519_pass_2	(2.0, 79859.0)	(3.0, 15145.0)	(4.0, 16440.0)	(5.0, 18702.0)	(6.0, 20099.0)	(7.0, 21292.0)	(8.0, 23083.0)	(9.0, 24995.0)	(10.0, 26236.0)	(11.0, 28432.0)	(12.0, 31319.0)	(13.0, 33140.0)	(14.0, 35596.0)	(15.0, 37032.0)	(16.0, 39382.0)	(17.0, 41773.0)	(18.0, 44171.0)	(19.0, 47897.0)	(20.0, 53639.0)	(21.0, 59728.0)	(22.0, 67781.0)	(23.0, 77069.0)	(24.0, 90245.0)	(25.0, 105813.0)	(26.0, 126894.0)	(27.0, 151289.0)	(28.0, 181381.0)	(29.0, 219493.0)	(30.0, 268056.0)	(31.0, 332206.0)	(32.0, 418530.0)	(33.0, 542311.0)	(34.0, 734026.0)	(35.0, 1021180.0)	(36.0, 1512104.0)	(37.0, 2346564.0)	(38.0, 3536077.0)	(39.0, 4834401.0)	(40.0, 4856555.0)
SRR1039520_pass_1	(2.0, 2787.0)	(3.0, 1255.0)	(4.0, 2209.0)	(5.0, 3307.0)	(6.0, 6126.0)	(7.0, 10359.0)	(8.0, 13646.0)	(9.0, 16415.0)	(10.0, 17216.0)	(11.0, 19158.0)	(12.0, 20930.0)	(13.0, 23116.0)	(14.0, 25708.0)	(15.0, 27856.0)	(16.0, 30175.0)	(17.0, 33609.0)	(18.0, 37303.0)	(19.0, 41822.0)	(20.0, 47716.0)	(21.0, 54338.0)	(22.0, 63213.0)	(23.0, 72704.0)	(24.0, 84927.0)	(25.0, 101013.0)	(26.0, 121629.0)	(27.0, 149130.0)	(28.0, 186475.0)	(29.0, 230086.0)	(30.0, 288783.0)	(31.0, 365185.0)	(32.0, 462383.0)	(33.0, 594792.0)	(34.0, 797918.0)	(35.0, 1086680.0)	(36.0, 1565651.0)	(37.0, 2351108.0)	(38.0, 3428364.0)	(39.0, 4629271.0)	(40.0, 4261525.0)
SRR1039520_pass_2	(2.0, 64582.0)	(3.0, 15037.0)	(4.0, 16719.0)	(5.0, 19122.0)	(6.0, 20647.0)	(7.0, 22086.0)	(8.0, 24604.0)	(9.0, 27336.0)	(10.0, 28303.0)	(11.0, 30928.0)	(12.0, 33514.0)	(13.0, 35704.0)	(14.0, 37589.0)	(15.0, 39390.0)	(16.0, 41818.0)	(17.0, 43696.0)	(18.0, 46729.0)	(19.0, 50333.0)	(20.0, 55079.0)	(21.0, 61423.0)	(22.0, 69487.0)	(23.0, 79733.0)	(24.0, 93054.0)	(25.0, 109010.0)	(26.0, 130329.0)	(27.0, 155359.0)	(28.0, 187015.0)	(29.0, 226536.0)	(30.0, 276738.0)	(31.0, 342403.0)	(32.0, 433013.0)	(33.0, 556620.0)	(34.0, 748817.0)	(35.0, 1025381.0)	(36.0, 1487330.0)	(37.0, 2249390.0)	(38.0, 3321512.0)	(39.0, 4511992.0)	(40.0, 4557530.0)
SRR1039521_pass_1	(2.0, 3389.0)	(3.0, 1564.0)	(4.0, 2761.0)	(5.0, 4268.0)	(6.0, 7572.0)	(7.0, 13021.0)	(8.0, 16769.0)	(9.0, 20063.0)	(10.0, 20644.0)	(11.0, 22794.0)	(12.0, 24541.0)	(13.0, 27248.0)	(14.0, 29919.0)	(15.0, 32571.0)	(16.0, 35819.0)	(17.0, 39638.0)	(18.0, 43948.0)	(19.0, 49672.0)	(20.0, 57064.0)	(21.0, 65793.0)	(22.0, 77129.0)	(23.0, 89256.0)	(24.0, 104562.0)	(25.0, 123751.0)	(26.0, 148705.0)	(27.0, 180064.0)	(28.0, 220092.0)	(29.0, 273114.0)	(30.0, 337091.0)	(31.0, 418199.0)	(32.0, 523356.0)	(33.0, 663083.0)	(34.0, 877451.0)	(35.0, 1190195.0)	(36.0, 1707449.0)	(37.0, 2552112.0)	(38.0, 3714458.0)	(39.0, 5050133.0)	(40.0, 4718602.0)
SRR1039521_pass_2	(2.0, 95898.0)	(3.0, 18329.0)	(4.0, 20609.0)	(5.0, 23032.0)	(6.0, 25510.0)	(7.0, 27320.0)	(8.0, 29895.0)	(9.0, 32523.0)	(10.0, 33975.0)	(11.0, 37337.0)	(12.0, 39801.0)	(13.0, 42623.0)	(14.0, 44580.0)	(15.0, 46977.0)	(16.0, 49279.0)	(17.0, 51885.0)	(18.0, 54974.0)	(19.0, 59140.0)	(20.0, 64643.0)	(21.0, 72679.0)	(22.0, 82164.0)	(23.0, 94298.0)	(24.0, 109202.0)	(25.0, 128768.0)	(26.0, 153138.0)	(27.0, 181569.0)	(28.0, 217239.0)	(29.0, 260430.0)	(30.0, 317392.0)	(31.0, 388436.0)	(32.0, 486873.0)	(33.0, 620360.0)	(34.0, 827632.0)	(35.0, 1126196.0)	(36.0, 1625268.0)	(37.0, 2444008.0)	(38.0, 3609380.0)	(39.0, 4914167.0)	(40.0, 5030331.0)
SRR1039522_pass_1	(2.0, 4780.0)	(3.0, 2103.0)	(4.0, 3468.0)	(5.0, 5329.0)	(6.0, 8666.0)	(7.0, 13252.0)	(8.0, 16931.0)	(9.0, 20282.0)	(10.0, 20786.0)	(11.0, 23203.0)	(12.0, 24672.0)	(13.0, 26892.0)	(14.0, 29403.0)	(15.0, 30922.0)	(16.0, 33595.0)	(17.0, 36264.0)	(18.0, 39775.0)	(19.0, 44831.0)	(20.0, 50089.0)	(21.0, 57461.0)	(22.0, 65107.0)	(23.0, 73769.0)	(24.0, 85399.0)	(25.0, 99302.0)	(26.0, 117672.0)	(27.0, 140861.0)	(28.0, 171435.0)	(29.0, 212158.0)	(30.0, 264846.0)	(31.0, 332209.0)	(32.0, 425874.0)	(33.0, 557935.0)	(34.0, 778814.0)	(35.0, 1118904.0)	(36.0, 1744200.0)	(37.0, 2882834.0)	(38.0, 4599302.0)	(39.0, 6739160.0)	(40.0, 7231014.0)
SRR1039522_pass_2	(2.0, 76446.0)	(3.0, 17099.0)	(4.0, 17965.0)	(5.0, 19959.0)	(6.0, 22483.0)	(7.0, 23525.0)	(8.0, 25947.0)	(9.0, 27874.0)	(10.0, 29136.0)	(11.0, 30786.0)	(12.0, 33413.0)	(13.0, 35110.0)	(14.0, 37281.0)	(15.0, 38835.0)	(16.0, 40460.0)	(17.0, 42830.0)	(18.0, 45096.0)	(19.0, 48528.0)	(20.0, 53335.0)	(21.0, 59412.0)	(22.0, 66513.0)	(23.0, 75254.0)	(24.0, 86309.0)	(25.0, 101229.0)	(26.0, 118735.0)	(27.0, 140456.0)	(28.0, 166678.0)	(29.0, 201460.0)	(30.0, 245675.0)	(31.0, 303751.0)	(32.0, 386425.0)	(33.0, 506480.0)	(34.0, 711086.0)	(35.0, 1029611.0)	(36.0, 1621689.0)	(37.0, 2733684.0)	(38.0, 4464888.0)	(39.0, 6588008.0)	(40.0, 7860048.0)
SRR1039523_pass_1	(2.0, 2796.0)	(3.0, 1365.0)	(4.0, 2562.0)	(5.0, 3808.0)	(6.0, 6968.0)	(7.0, 11427.0)	(8.0, 14858.0)	(9.0, 18663.0)	(10.0, 19323.0)	(11.0, 21471.0)	(12.0, 23868.0)	(13.0, 25987.0)	(14.0, 28112.0)	(15.0, 30056.0)	(16.0, 32825.0)	(17.0, 36082.0)	(18.0, 40366.0)	(19.0, 45647.0)	(20.0, 52255.0)	(21.0, 59464.0)	(22.0, 69303.0)	(23.0, 79573.0)	(24.0, 93094.0)	(25.0, 108542.0)	(26.0, 129164.0)	(27.0, 155949.0)	(28.0, 190096.0)	(29.0, 235248.0)	(30.0, 294332.0)	(31.0, 371697.0)	(32.0, 475705.0)	(33.0, 623491.0)	(34.0, 867524.0)	(35.0, 1239800.0)	(36.0, 1924273.0)	(37.0, 3164842.0)	(38.0, 5051733.0)	(39.0, 7493279.0)	(40.0, 8053990.0)
SRR1039523_pass_2	(2.0, 75729.0)	(3.0, 17334.0)	(4.0, 18700.0)	(5.0, 20614.0)	(6.0, 22975.0)	(7.0, 24081.0)	(8.0, 27005.0)	(9.0, 28634.0)	(10.0, 30312.0)	(11.0, 32468.0)	(12.0, 34603.0)	(13.0, 36562.0)	(14.0, 39144.0)	(15.0, 40366.0)	(16.0, 42714.0)	(17.0, 45180.0)	(18.0, 47733.0)	(19.0, 51243.0)	(20.0, 56763.0)	(21.0, 63224.0)	(22.0, 71249.0)	(23.0, 80922.0)	(24.0, 93237.0)	(25.0, 108567.0)	(26.0, 128015.0)	(27.0, 152193.0)	(28.0, 182337.0)	(29.0, 219592.0)	(30.0, 269580.0)	(31.0, 335723.0)	(32.0, 426494.0)	(33.0, 560257.0)	(34.0, 786330.0)	(35.0, 1134414.0)	(36.0, 1784366.0)	(37.0, 2997382.0)	(38.0, 4906227.0)	(39.0, 7337707.0)	(40.0, 8769562.0)
