Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR1039513_pass_1	(2.0, 1920.0)	(3.0, 940.0)	(4.0, 1608.0)	(5.0, 2476.0)	(6.0, 4559.0)	(7.0, 8059.0)	(8.0, 10496.0)	(9.0, 12706.0)	(10.0, 13208.0)	(11.0, 14783.0)	(12.0, 16120.0)	(13.0, 17746.0)	(14.0, 19559.0)	(15.0, 21025.0)	(16.0, 23601.0)	(17.0, 26308.0)	(18.0, 29181.0)	(19.0, 33679.0)	(20.0, 37941.0)	(21.0, 43947.0)	(22.0, 50424.0)	(23.0, 59064.0)	(24.0, 69217.0)	(25.0, 81769.0)	(26.0, 98844.0)	(27.0, 120486.0)	(28.0, 148233.0)	(29.0, 183535.0)	(30.0, 228105.0)	(31.0, 284963.0)	(32.0, 357204.0)	(33.0, 456631.0)	(34.0, 604252.0)	(35.0, 820095.0)	(36.0, 1177429.0)	(37.0, 1780030.0)	(38.0, 2647662.0)	(39.0, 3716287.0)	(40.0, 3598996.0)
SRR1039513_pass_2	(2.0, 72546.0)	(3.0, 12571.0)	(4.0, 13743.0)	(5.0, 15531.0)	(6.0, 17171.0)	(7.0, 18531.0)	(8.0, 19935.0)	(9.0, 21931.0)	(10.0, 22894.0)	(11.0, 25069.0)	(12.0, 27267.0)	(13.0, 28736.0)	(14.0, 30594.0)	(15.0, 31368.0)	(16.0, 33455.0)	(17.0, 35549.0)	(18.0, 37580.0)	(19.0, 40842.0)	(20.0, 44802.0)	(21.0, 50106.0)	(22.0, 57226.0)	(23.0, 65916.0)	(24.0, 75928.0)	(25.0, 89140.0)	(26.0, 105536.0)	(27.0, 125457.0)	(28.0, 149035.0)	(29.0, 179590.0)	(30.0, 218278.0)	(31.0, 268751.0)	(32.0, 336882.0)	(33.0, 428495.0)	(34.0, 571528.0)	(35.0, 777206.0)	(36.0, 1119884.0)	(37.0, 1701953.0)	(38.0, 2566736.0)	(39.0, 3600420.0)	(40.0, 3784906.0)
SRR1039514_pass_1	(2.0, 3976.0)	(3.0, 2142.0)	(4.0, 3743.0)	(5.0, 6075.0)	(6.0, 11277.0)	(7.0, 19270.0)	(8.0, 25396.0)	(9.0, 30442.0)	(10.0, 31808.0)	(11.0, 35550.0)	(12.0, 39357.0)	(13.0, 43112.0)	(14.0, 48164.0)	(15.0, 52284.0)	(16.0, 57809.0)	(17.0, 64658.0)	(18.0, 72645.0)	(19.0, 82792.0)	(20.0, 94284.0)	(21.0, 108047.0)	(22.0, 125820.0)	(23.0, 146053.0)	(24.0, 170623.0)	(25.0, 203259.0)	(26.0, 244068.0)	(27.0, 297697.0)	(28.0, 365216.0)	(29.0, 452230.0)	(30.0, 562973.0)	(31.0, 705674.0)	(32.0, 883188.0)	(33.0, 1130911.0)	(34.0, 1497245.0)	(35.0, 2032257.0)	(36.0, 2906740.0)	(37.0, 4329221.0)	(38.0, 6323886.0)	(39.0, 8668653.0)	(40.0, 8143182.0)
SRR1039514_pass_2	(2.0, 241810.0)	(3.0, 33634.0)	(4.0, 35969.0)	(5.0, 38888.0)	(6.0, 42255.0)	(7.0, 44688.0)	(8.0, 48683.0)	(9.0, 52695.0)	(10.0, 54933.0)	(11.0, 60317.0)	(12.0, 65498.0)	(13.0, 69000.0)	(14.0, 73119.0)	(15.0, 75474.0)	(16.0, 79164.0)	(17.0, 83070.0)	(18.0, 88240.0)	(19.0, 95641.0)	(20.0, 106806.0)	(21.0, 119195.0)	(22.0, 137304.0)	(23.0, 157066.0)	(24.0, 182736.0)	(25.0, 215541.0)	(26.0, 254514.0)	(27.0, 303053.0)	(28.0, 361429.0)	(29.0, 434697.0)	(30.0, 529940.0)	(31.0, 651404.0)	(32.0, 813428.0)	(33.0, 1030678.0)	(34.0, 1376343.0)	(35.0, 1872957.0)	(36.0, 2701073.0)	(37.0, 4075625.0)	(38.0, 6091882.0)	(39.0, 8476085.0)	(40.0, 8846893.0)
SRR1039515_pass_1	(2.0, 1813.0)	(3.0, 1047.0)	(4.0, 1825.0)	(5.0, 2800.0)	(6.0, 4856.0)	(7.0, 8476.0)	(8.0, 10955.0)	(9.0, 13830.0)	(10.0, 14205.0)	(11.0, 16059.0)	(12.0, 17428.0)	(13.0, 19063.0)	(14.0, 21287.0)	(15.0, 22302.0)	(16.0, 24787.0)	(17.0, 27289.0)	(18.0, 30256.0)	(19.0, 34494.0)	(20.0, 39664.0)	(21.0, 45545.0)	(22.0, 53091.0)	(23.0, 60950.0)	(24.0, 70738.0)	(25.0, 83191.0)	(26.0, 98418.0)	(27.0, 118697.0)	(28.0, 144963.0)	(29.0, 178832.0)	(30.0, 223012.0)	(31.0, 282194.0)	(32.0, 360333.0)	(33.0, 473655.0)	(34.0, 657388.0)	(35.0, 940351.0)	(36.0, 1455185.0)	(37.0, 2412361.0)	(38.0, 3907185.0)	(39.0, 5863634.0)	(40.0, 6384855.0)
SRR1039515_pass_2	(2.0, 81140.0)	(3.0, 14638.0)	(4.0, 15213.0)	(5.0, 16758.0)	(6.0, 18397.0)	(7.0, 19296.0)	(8.0, 21474.0)	(9.0, 23110.0)	(10.0, 23479.0)	(11.0, 25701.0)	(12.0, 27465.0)	(13.0, 28425.0)	(14.0, 30723.0)	(15.0, 31715.0)	(16.0, 33188.0)	(17.0, 35043.0)	(18.0, 37029.0)	(19.0, 40282.0)	(20.0, 44022.0)	(21.0, 49013.0)	(22.0, 56018.0)	(23.0, 63900.0)	(24.0, 73665.0)	(25.0, 85593.0)	(26.0, 100991.0)	(27.0, 119795.0)	(28.0, 143329.0)	(29.0, 171566.0)	(30.0, 210771.0)	(31.0, 261389.0)	(32.0, 332402.0)	(33.0, 432068.0)	(34.0, 604224.0)	(35.0, 869388.0)	(36.0, 1359134.0)	(37.0, 2292371.0)	(38.0, 3787543.0)	(39.0, 5697887.0)	(40.0, 6848869.0)
SRR1039516_pass_1	(2.0, 2296.0)	(3.0, 1313.0)	(4.0, 2414.0)	(5.0, 3709.0)	(6.0, 6877.0)	(7.0, 12091.0)	(8.0, 16103.0)	(9.0, 20521.0)	(10.0, 20933.0)	(11.0, 23348.0)	(12.0, 25441.0)	(13.0, 28157.0)	(14.0, 31147.0)	(15.0, 33789.0)	(16.0, 37805.0)	(17.0, 42302.0)	(18.0, 47605.0)	(19.0, 54219.0)	(20.0, 61788.0)	(21.0, 70992.0)	(22.0, 82059.0)	(23.0, 94668.0)	(24.0, 110793.0)	(25.0, 129713.0)	(26.0, 155647.0)	(27.0, 189446.0)	(28.0, 232313.0)	(29.0, 288478.0)	(30.0, 357920.0)	(31.0, 449633.0)	(32.0, 570127.0)	(33.0, 738034.0)	(34.0, 995152.0)	(35.0, 1365580.0)	(36.0, 1984436.0)	(37.0, 2985659.0)	(38.0, 4416241.0)	(39.0, 6052057.0)	(40.0, 5558164.0)
SRR1039516_pass_2	(2.0, 139767.0)	(3.0, 20484.0)	(4.0, 21994.0)	(5.0, 24135.0)	(6.0, 26299.0)	(7.0, 27460.0)	(8.0, 29763.0)	(9.0, 32473.0)	(10.0, 34697.0)	(11.0, 37737.0)	(12.0, 40742.0)	(13.0, 43660.0)	(14.0, 46631.0)	(15.0, 48046.0)	(16.0, 50864.0)	(17.0, 53720.0)	(18.0, 57036.0)	(19.0, 62781.0)	(20.0, 69819.0)	(21.0, 78398.0)	(22.0, 89606.0)	(23.0, 101611.0)	(24.0, 118283.0)	(25.0, 139514.0)	(26.0, 164878.0)	(27.0, 195999.0)	(28.0, 234302.0)	(29.0, 280017.0)	(30.0, 341143.0)	(31.0, 421436.0)	(32.0, 525616.0)	(33.0, 673120.0)	(34.0, 906897.0)	(35.0, 1252107.0)	(36.0, 1845654.0)	(37.0, 2873244.0)	(38.0, 4343939.0)	(39.0, 5970517.0)	(40.0, 5874581.0)
SRR1039517_pass_1	(2.0, 2991.0)	(3.0, 1799.0)	(4.0, 3158.0)	(5.0, 5064.0)	(6.0, 9340.0)	(7.0, 16344.0)	(8.0, 22458.0)	(9.0, 27547.0)	(10.0, 28794.0)	(11.0, 31704.0)	(12.0, 34647.0)	(13.0, 37778.0)	(14.0, 41718.0)	(15.0, 45244.0)	(16.0, 49919.0)	(17.0, 55929.0)	(18.0, 62807.0)	(19.0, 71103.0)	(20.0, 81389.0)	(21.0, 94113.0)	(22.0, 108794.0)	(23.0, 127103.0)	(24.0, 147236.0)	(25.0, 174929.0)	(26.0, 210293.0)	(27.0, 254766.0)	(28.0, 313060.0)	(29.0, 386849.0)	(30.0, 483966.0)	(31.0, 608054.0)	(32.0, 766548.0)	(33.0, 989428.0)	(34.0, 1326893.0)	(35.0, 1812140.0)	(36.0, 2612040.0)	(37.0, 3849565.0)	(38.0, 5544614.0)	(39.0, 7350875.0)	(40.0, 6507261.0)
SRR1039517_pass_2	(2.0, 101027.0)	(3.0, 23437.0)	(4.0, 26221.0)	(5.0, 28901.0)	(6.0, 32166.0)	(7.0, 34551.0)	(8.0, 37743.0)	(9.0, 41536.0)	(10.0, 43438.0)	(11.0, 47211.0)	(12.0, 51653.0)	(13.0, 55259.0)	(14.0, 58671.0)	(15.0, 61341.0)	(16.0, 65041.0)	(17.0, 68718.0)	(18.0, 72911.0)	(19.0, 78824.0)	(20.0, 87425.0)	(21.0, 98377.0)	(22.0, 112433.0)	(23.0, 128128.0)	(24.0, 149875.0)	(25.0, 175358.0)	(26.0, 208139.0)	(27.0, 249021.0)	(28.0, 299540.0)	(29.0, 360372.0)	(30.0, 439863.0)	(31.0, 543184.0)	(32.0, 681837.0)	(33.0, 878044.0)	(34.0, 1184565.0)	(35.0, 1638818.0)	(36.0, 2404031.0)	(37.0, 3686367.0)	(38.0, 5479990.0)	(39.0, 7385208.0)	(40.0, 7179036.0)
