Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1039514_pass_1	(1.0, 30.5016366343878)	(2.0, 11.604369309079395)	(3.0, 6.599639502378995)	(4.0, 4.659874931749833)	(5.0, 3.3147190891650413)	(6.0, 2.5905790562334037)	(7.0, 2.1844460598363256)	(8.0, 1.8428540178621362)	(9.0, 1.5216180002281314)	('>10', 18.83970959158741)	('>50', 5.983966941238155)	('>100', 8.291412329489711)	('>500', 1.3194653557588982)	('>1k', 0.5711762203957718)	('>5k', 0.0)	('>10k+', 0.174532960609136)
SRR1039514_pass_2	(1.0, 31.983814087832414)	(2.0, 11.133392122302737)	(3.0, 6.614558140730422)	(4.0, 4.382830823446219)	(5.0, 3.337581625232231)	(6.0, 2.5861353591221037)	(7.0, 2.0881967198468168)	(8.0, 1.787810170450102)	(9.0, 1.5175649558246642)	('>10', 18.32781685439955)	('>50', 5.962043611209465)	('>100', 8.233750995049096)	('>500', 1.3169290967708585)	('>1k', 0.6009551757076327)	('>5k', 0.0)	('>10k+', 0.12662026207574076)
SRR1039515_pass_1	(1.0, 36.51607640198107)	(2.0, 12.034161657740922)	(3.0, 6.495040070320096)	(4.0, 4.284521098191791)	(5.0, 3.090237017483034)	(6.0, 2.4288643243338752)	(7.0, 1.9305349947141344)	(8.0, 1.6698090885679546)	(9.0, 1.4050302902826095)	('>10', 17.12236680381216)	('>50', 5.322732367371505)	('>100', 6.513565864030971)	('>500', 0.8401647312645298)	('>1k', 0.3007976523905211)	('>5k', 0.0)	('>10k+', 0.046097637514667285)
SRR1039515_pass_2	(1.0, 37.37071740658542)	(2.0, 11.802205775356466)	(3.0, 6.426983269265024)	(4.0, 4.226210419125386)	(5.0, 3.1260933466414524)	(6.0, 2.410364945230578)	(7.0, 1.9212858142542537)	(8.0, 1.6671201093963468)	(9.0, 1.3255379030642045)	('>10', 16.922155757677228)	('>50', 5.174415709648725)	('>100', 6.403965128779135)	('>500', 0.8868123595585137)	('>1k', 0.29103422100466797)	('>5k', 0.0)	('>10k+', 0.0450978344127071)
SRR1039516_pass_1	(1.0, 32.94488974889384)	(2.0, 11.510560336024211)	(3.0, 6.530979019208126)	(4.0, 4.482248183180899)	(5.0, 3.298152659238384)	(6.0, 2.4595371054529394)	(7.0, 1.9684503722046824)	(8.0, 1.7461923853730816)	(9.0, 1.4326232197026934)	('>10', 17.178544672924417)	('>50', 5.4730840829764755)	('>100', 8.186020311603915)	('>500', 1.5414139957007662)	('>1k', 1.0057648311151546)	('>5k', 0.05566285719373898)	('>10k+', 0.18587621920683536)
SRR1039516_pass_2	(1.0, 34.07313915261253)	(2.0, 11.552140095262251)	(3.0, 6.399716468016667)	(4.0, 4.265056694423802)	(5.0, 3.284309889584755)	(6.0, 2.4220471367562415)	(7.0, 1.967833216239712)	(8.0, 1.6308404942904233)	(9.0, 1.3554814620720457)	('>10', 17.031685542916563)	('>50', 5.3935088987153)	('>100', 7.921678128319414)	('>500', 1.5138004167906962)	('>1k', 1.0298724582381962)	('>5k', 0.059858013145054685)	('>10k+', 0.09903193261643357)
SRR1039517_pass_1	(1.0, 30.78458965874634)	(2.0, 11.482048445152996)	(3.0, 6.782087438654758)	(4.0, 4.611730164532406)	(5.0, 3.4542649317173275)	(6.0, 2.7288049030564787)	(7.0, 2.131114473533539)	(8.0, 1.8411798793154934)	(9.0, 1.5474527201746584)	('>10', 19.05075261639849)	('>50', 5.8310747896844415)	('>100', 7.968893404828395)	('>500', 1.2325471751279877)	('>1k', 0.5335128435464326)	('>5k', 0.019946555530217718)	('>10k+', 0.0)
SRR1039517_pass_2	(1.0, 31.868692477866716)	(2.0, 11.100102312110282)	(3.0, 6.664717193071587)	(4.0, 4.626122375485743)	(5.0, 3.3401746164523543)	(6.0, 2.6592967586886993)	(7.0, 2.1372447141710706)	(8.0, 1.7544871528895298)	(9.0, 1.5261657633629708)	('>10', 19.11254293488506)	('>50', 5.631972679581975)	('>100', 7.762755754640368)	('>500', 1.265760472283115)	('>1k', 0.5499647945106332)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039518_pass_1	(1.0, 32.83640693097044)	(2.0, 11.680629776278783)	(3.0, 6.67347052411531)	(4.0, 4.476161381282931)	(5.0, 3.3708414525133983)	(6.0, 2.5589497655222866)	(7.0, 2.122966308426161)	(8.0, 1.7588347002599973)	(9.0, 1.5075453396571088)	('>10', 18.433231495131995)	('>50', 5.6353571754272975)	('>100', 7.346424810935274)	('>500', 1.1383945003394185)	('>1k', 0.4235653939037502)	('>5k', 0.037220445235943686)	('>10k+', 0.0)
SRR1039518_pass_2	(1.0, 33.89508325727796)	(2.0, 11.383496940759505)	(3.0, 6.581583372077142)	(4.0, 4.4195858022988475)	(5.0, 3.1614718552745953)	(6.0, 2.5993409840592707)	(7.0, 2.088261129977239)	(8.0, 1.7597870328178864)	(9.0, 1.5278392050392673)	('>10', 18.055684980917803)	('>50', 5.562207970256236)	('>100', 7.323231384872779)	('>500', 1.2021774107612135)	('>1k', 0.44024867361026865)	('>5k', 0.0)	('>10k+', 0.0)
