#Transcript position	Transcript coverage profile
0.0	16769.655716128982
1.0	19887.671472892114
2.0	21115.626412213238
3.0	23523.584517388692
4.0	26172.17722939719
5.0	29068.865826964957
6.0	31529.87328892335
7.0	33165.1718371952
8.0	35038.41693665797
9.0	36517.536415502786
10.0	37535.185874425006
11.0	38391.796065502895
12.0	39352.05028225031
13.0	39975.37097612418
14.0	39881.96756523629
15.0	39897.29099846075
16.0	39915.706977682006
17.0	40246.93776745896
18.0	40585.86093785011
19.0	41070.72672165241
20.0	41506.52276503179
21.0	41680.86053304863
22.0	41971.11836629951
23.0	42368.756180639866
24.0	41887.1031215422
25.0	41317.66216958848
26.0	41046.74404980995
27.0	41071.413799755
28.0	41374.38256004197
29.0	41206.95728754318
30.0	41288.3758930859
31.0	41463.60483639988
32.0	41700.459464421205
33.0	41973.376684279225
34.0	42085.66025031903
35.0	42228.54275259747
36.0	42341.71303418529
37.0	42311.16921887753
38.0	42256.141949064724
39.0	41831.9559982454
40.0	41641.15081868575
41.0	41535.69921349387
42.0	41083.103374815684
43.0	40868.5159544532
44.0	40674.324359493476
45.0	40576.512882008654
46.0	40397.78261200476
47.0	40509.544244953
48.0	40390.965857278876
49.0	40146.86946466602
50.0	39784.45961310914
51.0	39560.19598581734
52.0	39323.23116038207
53.0	39179.624358280445
54.0	39197.283679139604
55.0	39233.08774098784
56.0	38958.998375213865
57.0	39053.145727177514
58.0	38841.747623873496
59.0	38757.34004840529
60.0	38798.969037462695
61.0	38498.65485394433
62.0	38172.9762856962
63.0	38148.37935346606
64.0	38017.249236375894
65.0	37644.28200561206
66.0	37339.19321654761
67.0	37072.21806155002
68.0	36974.069373276754
69.0	36999.85047810347
70.0	37074.80399037986
71.0	37225.97955188776
72.0	37363.75170519924
73.0	37405.77394238796
74.0	37408.89323633499
75.0	37414.76515553779
76.0	37515.95670001835
77.0	37739.973201970395
78.0	37581.547196897925
79.0	37431.92703566616
80.0	37114.26356141598
81.0	37071.83857426243
82.0	36807.85622912467
83.0	36288.263453154184
84.0	35523.78676725638
85.0	35202.174400974385
86.0	35018.176830040444
87.0	34726.50786950428
88.0	34142.75725729936
89.0	32874.11165182485
90.0	31702.976664681162
91.0	30906.602905597505
92.0	30224.33615721875
93.0	28920.77552930368
94.0	27137.622951955564
95.0	24196.38076956444
96.0	19581.358024120527
97.0	13650.206090205911
98.0	7572.825394528623
99.0	2177.3423020476594
