"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ENSG00000174238",311.870417997534,0.76849910539088,0.120642934863755,1.24998008710794e-10,1.31964175626269e-09,"PITPNA"
"ENSG00000167842",96.8315159891657,1.28909477285594,0.205107861414288,1.25176881359572e-10,1.32086036139125e-09,"MIS12"
"ENSG00000187742",184.280800362744,1.00159032382246,0.158337202317159,1.25963127242698e-10,1.32848345798669e-09,"SECISBP2"
"ENSG00000196196",12.4013350082536,-8.53592294298526,2.84143168630964,1.26138259823439e-10,1.32965692722237e-09,"HRCT1"
"ENSG00000152953",81.846126132527,-1.89390469582446,0.308464168096953,1.26765954993706e-10,1.33559737703136e-09,"STK32B"
"ENSG00000083642",198.194129339544,-0.921821993954306,0.145589118010964,1.27776847160086e-10,1.34556711230442e-09,"PDS5B"
"ENSG00000055813",49.1905213150715,-2.00638294510708,0.326685018125234,1.28108639613349e-10,1.34837905364525e-09,"CCDC85A"
"ENSG00000181704",184.47236528386,0.956820573424239,0.151075271600217,1.29036321259177e-10,1.35745688342335e-09,"YIPF6"
"ENSG00000256262",6.50787221561074,7.9375464853171,2.54586264902929,1.29215823631184e-10,1.35865870312001e-09,NA
"ENSG00000146143",43.7243186514554,-2.09228898085151,0.340571010426201,1.31184076905004e-10,1.37865789857914e-09,"PRIM2"
"ENSG00000092068",1187.58712468444,1.37307380178523,0.219980193189892,1.34185950497155e-10,1.40949409858742e-09,"SLC7A8"
"ENSG00000099246",301.610234086393,0.725366862744719,0.114042530437415,1.34888095499536e-10,1.41615494715322e-09,"RAB18"
"ENSG00000185909",38.5275855218623,-2.1000337020789,0.340420324560422,1.37144000473603e-10,1.43911337996973e-09,"KLHDC8B"
"ENSG00000187741",51.5708142979214,-2.02176483114235,0.328670761593852,1.37374578759226e-10,1.44080672805457e-09,"FANCA"
"ENSG00000157657",277.586924638695,1.22008453686868,0.19496137451021,1.3798166983322e-10,1.44571735493599e-09,"ZNF618"
"ENSG00000247077",59.631473282048,-1.27130779243488,0.203431026528018,1.37960117665213e-10,1.44571735493599e-09,"PGAM5"
"ENSG00000080986",54.0323863576623,-2.15099864349507,0.351491128829429,1.40047969956808e-10,1.46662911797323e-09,"NDC80"
"ENSG00000115415",2185.00120274292,1.18624742114425,0.189185647309988,1.41863146857375e-10,1.48489132952423e-09,"STAT1"
"ENSG00000144554",54.4368261708011,-1.8354257070973,0.297457793712084,1.46396323828151e-10,1.53080113801018e-09,"FANCD2"
"ENSG00000012660",957.042289998429,0.82881037970322,0.130857371605058,1.46329617435383e-10,1.53080113801018e-09,"ELOVL5"
"ENSG00000279762",8.03024435364224,8.03501691105925,2.55487561949127,1.46663948218873e-10,1.53256605412213e-09,NA
"ENSG00000128394",106.634922377596,1.45227868362656,0.234643981293623,1.46712337089457e-10,1.53256605412213e-09,"APOBEC3F"
"ENSG00000106948",219.57055136235,-1.83025609578235,0.29634520148184,1.51118794760775e-10,1.57780450758505e-09,"AKNA"
"ENSG00000131871",450.036952494053,0.835661124271524,0.132288742583398,1.53530130127811e-10,1.6021773328977e-09,"SELENOS"
"ENSG00000162981",53.6388425950674,2.47245123537689,0.408727457523042,1.53975484857604e-10,1.60601984932387e-09,"LRATD1"
"ENSG00000157106",1064.38034982119,0.556100695245454,0.0872518500238711,1.56642637715114e-10,1.63302106889883e-09,"SMG1"
"ENSG00000022840",577.791297071271,0.607325138709776,0.0955548679093452,1.58436139272038e-10,1.65089188363592e-09,"RNF10"
"ENSG00000143369",532.798687896261,0.933987843236697,0.148381016921928,1.58623464725457e-10,1.65201696454192e-09,"ECM1"
"ENSG00000170802",83.2863180179348,1.11194400133675,0.177364431039644,1.59812502206919e-10,1.66356824172293e-09,"FOXN2"
