"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ENSG00000167085",227.624405418408,0.110340293767863,0.149304078659055,0.418641807568967,0.633483185382371,"PHB1"
"ENSG00000298783",2.36052600598079,0.11322143117599,0.361403112665749,0.419085125497064,0.634100749219376,NA
"ENSG00000152804",4.87431495649301,0.126104688099816,0.353011888448311,0.419166730218071,0.634170961673561,"HHEX"
"ENSG00000230149",4.42863883814401,-0.122755441060613,0.354258863414827,0.419250586169718,0.634244568010215,NA
"ENSG00000221953",3.3870862948654,-0.104281018187967,0.364018755033688,0.419411465655213,0.634274906844986,"LINC02897"
"ENSG00000297172",2.37285471622279,-0.0997891227141299,0.364208410801633,0.419392684924675,0.634274906844986,NA
"ENSG00000122254",7.36561709877187,0.112362062400528,0.360557542516351,0.419334813489208,0.634274906844986,"HS3ST2"
"ENSG00000134444",157.151433028571,-0.0992490120694868,0.132238736328923,0.419398704679286,0.634274906844986,"RELCH"
"ENSG00000163807",89.2859373113244,0.1102685758783,0.148402252566844,0.419579848503546,0.634476292650654,"KIAA1143"
"ENSG00000100422",239.174440445148,-0.118291986618173,0.163178350748258,0.419651624010395,0.63453157013607,"CERK"
"ENSG00000129460",63.6245662863987,-0.125208321603875,0.178070051158189,0.419740344357548,0.634612457531519,"NGDN"
"ENSG00000175198",45.5220098196984,-0.145857374509501,0.231452176639576,0.419834353918624,0.634701327531923,"PCCA"
"ENSG00000023909",656.348240695462,-0.135107133512346,0.199226358418997,0.420057532710101,0.634932167908816,"GCLM"
"ENSG00000113569",130.896354040865,0.131300536910284,0.189196598382597,0.420046981059255,0.634932167908816,"NUP155"
"ENSG00000127580",67.2202529318524,0.132174222682612,0.191767885798277,0.42014323462802,0.635008432471342,"WDR24"
"ENSG00000065518",69.9066187681825,-0.131306188855254,0.191957612106175,0.42023831534873,0.635098858260442,"NDUFB4"
"ENSG00000182318",41.4741225127281,0.141179175773699,0.211993994347237,0.42028212424799,0.635111789167236,"ZSCAN22"
"ENSG00000128708",103.394942205151,-0.124637252964255,0.176451524517745,0.420449641676652,0.635311645093229,"HAT1"
"ENSG00000169641",470.083644161438,0.0859076783024967,0.112163137179087,0.420621540071998,0.635490824546228,"LUZP1"
"ENSG00000154930",21.6813363250893,0.154385206463564,0.299062072133346,0.420638770132869,0.635490824546228,"ACSS1"
"ENSG00000268812",4.7058437043658,-0.0994838674414042,0.362992686319357,0.420812409078824,0.635699845879933,"LIF-AS2"
"ENSG00000167700",13.9637801786594,0.155365582372865,0.29796804834548,0.4209161565641,0.635749956124985,"MFSD3"
"ENSG00000166471",196.964561723112,0.115982022838088,0.159523969822725,0.420911177872046,0.635749956124985,"TMEM41B"
"ENSG00000288829",1.84707456039623,-0.10169303715328,0.364354409428991,0.421010645893752,0.635829887769493,NA
"ENSG00000233117",12.8776828050725,0.12936724670845,0.350242098622563,0.421039662582707,0.635829887769493,NA
"ENSG00000171962",7.07408671302187,0.12458884490895,0.353866647897213,0.421159716028769,0.635957878130442,"DRC3"
"ENSG00000184292",8.05687583997035,0.144263795228537,0.33329615664001,0.42130704433468,0.6360737208358,"TACSTD2"
"ENSG00000260708",7.33278139503653,-0.148888643346132,0.317317574055476,0.421288261636301,0.6360737208358,"TBC1D22A-DT"
"ENSG00000229727",3.57273824917182,-0.0956765147878933,0.364117615299155,0.421345369895433,0.636078279205306,"LOC100506274"
"ENSG00000218069",2.82689003706294,-0.0885590219603596,0.365511195277959,0.421445914880414,0.636123458653279,NA
"ENSG00000063245",966.162906198613,-0.0770985009619076,0.0997984769286237,0.42142674747497,0.636123458653279,"EPN1"
"ENSG00000115524",1171.67308692466,-0.05854755776939,0.0748041687174966,0.421509104338419,0.636165537719775,"SF3B1"
"ENSG00000035928",201.163098376925,-0.0962398152183411,0.128189230729965,0.421644276485929,0.636303146861886,"RFC1"
"ENSG00000275120",7.68003607106101,-0.145859871299142,0.322975947986945,0.421670918649204,0.636303146861886,"LOC105370947"
"ENSG00000271936",12.6101885546821,-0.15189765278352,0.308778330718825,0.421717841666042,0.636320656235796,NA
"ENSG00000129680",338.078176944698,0.123660499131079,0.174041356027602,0.421776613930403,0.636356040245385,"MAP7D3"
"ENSG00000116604",614.231375043427,-0.0912033645045378,0.120433237446876,0.421844594751282,0.636405310587766,"MEF2D"
"ENSG00000291102",21.766318953684,0.155394558200272,0.272698450214657,0.421941500465728,0.636498205843637,"GUSBP1"
"ENSG00000158716",28.8721387077081,-0.144809270896953,0.232413864943306,0.422186069607709,0.636707201578142,"DUSP23"
"ENSG00000267682",3.37107300880841,-0.116524529660722,0.356354576103299,0.422155535998566,0.636707201578142,NA
"ENSG00000279748",3.33146990154137,0.107748714061457,0.360800822433309,0.422129423760391,0.636707201578142,NA
"ENSG00000273456",3.12846813463602,0.120543887859972,0.356690352348618,0.422586585478749,0.637151219682412,NA
"ENSG00000179593",2.83428675719816,0.109494026268194,0.363335615711308,0.422539058121579,0.637151219682412,"ALOX15B"
"ENSG00000101187",27.105070636558,-0.149657309614735,0.309208413630634,0.422567047266754,0.637151219682412,"SLCO4A1"
"ENSG00000170370",11.7456595142897,0.12151137599175,0.355822468867318,0.42266346507871,0.637213806431635,"EMX2"
"ENSG00000151617",19.4307520952116,-0.0881312199006308,0.36566603387094,0.422828939484525,0.637266270994686,"EDNRA"
"ENSG00000286116",4.70939735668643,-0.128733208759558,0.347330304424289,0.422896303492668,0.637266270994686,NA
"ENSG00000133704",253.217092653794,0.108833997062298,0.148060832224285,0.422881545828266,0.637266270994686,"IPO8"
"ENSG00000103496",298.115472758855,-0.105619754258515,0.143523209326298,0.422877647037359,0.637266270994686,"STX4"
"ENSG00000307784",3.03933466129975,0.105892813749195,0.361667827018362,0.422910498224493,0.637266270994686,NA
"ENSG00000267454",4.32193850683492,0.130680808227099,0.349511586870235,0.422772900389705,0.637266270994686,"ZNF582-DT"
"ENSG00000279118",9.72969744054627,-0.150359117759397,0.308836445310467,0.422973993291182,0.637308644570873,NA
"ENSG00000271918",9.60326880367022,0.151490151230495,0.313739912990527,0.423128990355169,0.637382265070128,NA
"ENSG00000151131",41.0533871717257,0.149271557612675,0.239019381701271,0.423076081541332,0.637382265070128,"NOPCHAP1"
"ENSG00000101084",42.3516810996086,-0.144609415040614,0.229349166547953,0.423119765492655,0.637382265070128,"RAB5IF"
"ENSG00000163472",9.74667652525745,0.14830753523098,0.320248839571102,0.423242924067452,0.637500586907384,"TMEM79"
"ENSG00000169217",275.845513306335,0.0744849712898235,0.0952072605874958,0.42329213945504,0.637521416520815,"CD2BP2"
"ENSG00000178896",2.77971163877339,-0.0927266246227557,0.365446953057312,0.423460913659117,0.637722295451195,"EXOSC4"
"ENSG00000179399",7.56336131195584,0.124199241945867,0.3541566354479,0.42363367309032,0.63792914195881,"GPC5"
"ENSG00000188338",21.7024359275957,-0.129527853632356,0.350092022924473,0.423813408606246,0.638146457956551,"SLC38A3"
"ENSG00000231563",12.5040878804889,0.152178779671046,0.307935266400013,0.42387096702392,0.638179787890936,NA
"ENSG00000188493",79.4051982412927,0.126911336071302,0.182659088061209,0.423973101129803,0.638280219767237,"ACTMAP"
"ENSG00000243224",2.669185003674,0.0879543941513175,0.366668880172739,0.424146189477974,0.638434100562719,"TWF2-DT"
"ENSG00000087253",69.4388133415457,-0.126887629521058,0.185477955024692,0.424129400481861,0.638434100562719,"LPCAT2"
"ENSG00000155755",113.010358212979,0.118508891219218,0.165034170679261,0.424191497186116,0.638448956834174,"TMEM237"
"ENSG00000158887",5.31899840375492,-0.118689387282092,0.35506725241369,0.42430308146291,0.638525911742198,"MPZ"
"ENSG00000125652",51.1205965192638,0.13887501894074,0.210964382568632,0.424313511066696,0.638525911742198,"ALKBH7"
"ENSG00000223865",52.0538808582538,0.135680820112386,0.201850495019041,0.424857115253665,0.639237162887091,"HLA-DPB1"
"ENSG00000175785",4.0894345245179,-0.0748505043677268,0.36866220449769,0.424835762049921,0.639237162887091,"PRIMA1"
"ENSG00000162627",137.795072304086,-0.113835579627726,0.158843776085462,0.425003803475502,0.639351079109439,"SNX7"
"ENSG00000226334",1.86706812875704,-0.0745713759738092,0.3670545791215,0.425003327501494,0.639351079109439,NA
"ENSG00000160446",46.6806042294272,-0.13539980220829,0.203498278976526,0.425047389494321,0.639352506374027,"ZDHHC12"
"ENSG00000134152",54.6535952527139,-0.129337032902608,0.191704889990809,0.425075728316391,0.639352506374027,"KATNBL1"
"ENSG00000144278",8.88800160907663,0.101714926996613,0.36331257688073,0.425298315757007,0.639429385885618,"GALNT13"
"ENSG00000145423",18.5430177029216,0.127419145192962,0.349640182106388,0.425204016616585,0.639429385885618,"SFRP2"
"ENSG00000270362",10.1675198642975,0.150967117748692,0.310997181453164,0.425296286230275,0.639429385885618,"HMGN3-AS1"
"ENSG00000183979",1.94434373466045,0.0785142599809279,0.368045502392428,0.425304303456226,0.639429385885618,"NPB"
"ENSG00000232346",2.30687819377505,-0.0976761494656582,0.363506716349018,0.425268333220807,0.639429385885618,"RPS17P16"
"ENSG00000182004",44.7239477700368,-0.14459471200431,0.231687240760282,0.425956232737665,0.640356098881991,"SNRPE"
"ENSG00000163673",12.8027887673908,-0.149972676812056,0.297338339245103,0.42601918120704,0.640397294003006,"DCLK3"
"ENSG00000120332",74.3743470803173,0.155783387718729,0.289061039505738,0.42615096772768,0.640480785071076,"TNN"
"ENSG00000156711",25.6248128913582,0.15393978926113,0.291672062832446,0.426181374968476,0.640480785071076,"MAPK13"
"ENSG00000168010",39.2896743789625,-0.138593660885047,0.217579775367829,0.426168099059401,0.640480785071076,"ATG16L2"
"ENSG00000103647",88.815919665864,0.138681595095939,0.209818520248653,0.426217799346653,0.64048209800895,"CORO2B"
"ENSG00000152944",80.2595177899256,0.127710074047492,0.18465104485405,0.426326259221361,0.640542172378685,"MED21"
"ENSG00000276116",2.94968210156037,0.103725911745196,0.362537462629359,0.426328884824202,0.640542172378685,NA
"ENSG00000200086",2.71164617145864,0.0962073836207828,0.364112328433352,0.426479758780936,0.640715421464088,"RNU6-433P"
"ENSG00000147419",101.732203089599,0.117185047967701,0.164170887527708,0.426529222555817,0.640736302306813,"CCDC25"
"ENSG00000181991",91.3689939371598,0.132573190442312,0.193996203819165,0.426773286964394,0.641049486238997,"MRPS11"
"ENSG00000149922",2.43346890479284,0.0851334711472699,0.363892353705142,0.426862770151697,0.641079568378211,"TBX6"
"ENSG00000087095",79.5541228783548,-0.111193316310302,0.155599526187336,0.426864481697659,0.641079568378211,"NLK"
"ENSG00000161013",1033.6672811967,-0.0980484403370847,0.132982168784204,0.427021585748818,0.64110713942006,"MGAT4B"
"ENSG00000102078",25.1842289536144,0.15265408637696,0.264673499402763,0.427004593933321,0.64110713942006,"SLC25A14"
"ENSG00000258986",2.14844728560074,0.0758231495695189,0.368252849389514,0.427061567442153,0.64110713942006,"TMEM179"
"ENSG00000102886",5.49232123191539,0.125998802734475,0.351951183305506,0.42709635253772,0.64110713942006,"GDPD3"
"ENSG00000150281",22.9936595221707,-0.150912335373662,0.267233514375914,0.427037805900225,0.64110713942006,"CTF1"
"ENSG00000169592",166.083510012356,-0.104495634198025,0.140409270150683,0.426959602083592,0.64110713942006,"INO80E"
"ENSG00000198298",4.74506042456145,0.11780726158642,0.356097833480857,0.427161075256785,0.641150873267203,"ZNF485"
"ENSG00000138399",35.6020368115832,-0.148260232221537,0.246864608756273,0.427508953232288,0.641619568596542,"FASTKD1"
"ENSG00000172379",54.8782965835405,-0.148331076063596,0.252826282167878,0.427624554940209,0.641739606980658,"ARNT2"
"ENSG00000131351",22.6074714464512,-0.149386323230398,0.313137715989826,0.427711575503123,0.641816736986862,"HAUS8"
"ENSG00000258325",8.02406267477861,0.137868626179262,0.336908741513271,0.427749778398903,0.641820605283138,"ITFG2-AS1"
"ENSG00000293271",6.7638277715002,-0.133004383608877,0.344228510467641,0.427864703133762,0.641839386199464,"SLC44A3-AS1"
"ENSG00000293332",2.13567907619883,-0.101130163026981,0.361628692266304,0.427923855355599,0.641839386199464,"LOC124907779"
"ENSG00000225573",33.7680444821163,-0.148552309990085,0.253805266304957,0.427978496603319,0.641839386199464,"RPL35P5"
"ENSG00000238058",27.3578326270546,0.14990736178584,0.255442744057062,0.427856609858895,0.641839386199464,NA
"ENSG00000231887",6.27413839559804,0.129906336726037,0.347966119067373,0.427973012666853,0.641839386199464,"PRH1"
"ENSG00000258366",9.55787063554571,-0.137817896480196,0.336266275257712,0.427961150021675,0.641839386199464,"RTEL1"
"ENSG00000099804",120.547597589572,0.104471213946774,0.142242944816898,0.428011677719825,0.641839386199464,"CDC34"
"ENSG00000119737",16.4354808460825,0.152859695308043,0.301494143573855,0.428121876690127,0.641951205197613,"GPR75"
"ENSG00000072195",136.767913914005,-0.139477579439278,0.214689540811517,0.428255310939196,0.64209784303267,"SPEG"
"ENSG00000159658",565.148054314816,0.0662734874698925,0.0854523098293958,0.42849260560999,0.64218640872626,"EFCAB14"
"ENSG00000188167",45.1774399009764,0.124729353619235,0.179486141244859,0.428398354348731,0.64218640872626,"TMPPE"
"ENSG00000251733",2.95899268583964,0.108784794652743,0.360266011062346,0.428476727568614,0.64218640872626,"SCARNA8"
"ENSG00000258813",2.748110342435,-0.103278345229808,0.360425924664145,0.428510515863178,0.64218640872626,NA
"ENSG00000293515",2.982493386666,-0.0918451424295284,0.36422588486334,0.428377123742513,0.64218640872626,"WFDC21P"
"ENSG00000049759",644.781147716351,0.130964096921518,0.192488158665048,0.428528252981078,0.64218640872626,"NEDD4L"
"ENSG00000280071",12.6933836726167,0.141427976309121,0.333874746035366,0.42885595349971,0.64262404210686,"LOC102724023"
"ENSG00000241634",2.45029098786196,0.0801826179759036,0.367544809544962,0.429036298156484,0.642840814004259,"RPL13P8"
"ENSG00000057663",112.776528115486,0.117768760229606,0.166844185153848,0.429127002932255,0.642869789192375,"ATG5"
"ENSG00000156515",1340.97460937173,-0.077697270026034,0.102525192814327,0.429109265146705,0.642869789192375,"HK1"
"ENSG00000214548",1361.98710133648,-0.119199808486323,0.170907016191488,0.42922229032441,0.64295907395731,"MEG3"
"ENSG00000240204",4.30525075149947,0.107150064038306,0.360102454629462,0.42932810181695,0.643012758738154,"SMKR1"
"ENSG00000141198",29.2614322875666,0.148586468535489,0.247725856497574,0.429365202465586,0.643012758738154,"TOM1L1"
"ENSG00000206418",130.267919678751,-0.0982977277916946,0.13536740076836,0.429357217713978,0.643012758738154,"RAB12"
"ENSG00000229657",4.10833525445577,-0.113930874419084,0.358942922284379,0.429434577924268,0.643063199724347,"RPL13AP11"
"ENSG00000285331",11.6162315846127,-0.146650743651932,0.315656866379336,0.429505793507712,0.64311638761926,"TCF12-DT"
"ENSG00000266094",266.787734490041,0.152737318780733,0.304585029032247,0.42973459405449,0.643279652314744,"RASSF5"
