Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR32684366 - polya	(1, 0.00111499397438673)	(2, 0.0016459434859994587)	(3, 0.0020574293574993235)	(4, 0.0029733172650312804)	(5, 0.004247596092901829)	(6, 0.006782880010852608)	(7, 0.01213219634035085)	(8, 0.021755656238331554)	(9, 0.041480430594744426)	(10, 0.05301530873453095)	(12, 0.06826019658671142)	(14, 0.08054504091165093)	(16, 0.09008885838288973)	(18, 0.09825884399283058)	(20, 0.10562576846645719)	(22, 0.1123953747395195)	(24, 0.11985521537767832)	(26, 0.12904727879747369)	(28, 0.1410865589732923)	(30, 0.15319220783806253)	(32, 0.16594163298566317)	(34, 0.18026399606141652)	(36, 0.18982108727044564)	(38, 0.19873440219664432)	(40, 0.20646635445950468)	(42, 0.21567169161709035)	(44, 0.22676189954090123)	(46, 0.23651145994788997)	(48, 0.2437124626991376)	(50, 0.2502099573474984)	(52, 0.2558512959083836)	(54, 0.2622293269166315)	(56, 0.2691980392565486)	(58, 0.27707600263510246)	(60, 0.28393852507269696)	(62, 0.29016390809635617)	(64, 0.29539376078574153)	(66, 0.30073644024634466)	(68, 0.3059530191979397)	(70, 0.313432770442784)	(72, 0.32006300246904795)	(74, 0.3282197143411985)	(76, 0.3354738120436074)	(78, 0.3427013622704357)	(80, 0.3507319736335782)	(82, 0.3585568420609708)	(84, 0.36669364332643584)	(86, 0.3741534839645947)	(88, 0.38315307818643046)
SRR32684366 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00019910606685477324)	(4, 0.0002787484935966825)	(5, 0.00047785456045145575)	(6, 0.0010088040720641843)	(7, 0.002097250570870278)	(8, 0.0031591495940957353)	(9, 0.0042608698306921475)	(10, 0.004579439537659784)	(12, 0.005740891594312628)	(14, 0.006935527995441268)	(16, 0.008276175512263407)	(18, 0.010121225065117638)	(20, 0.011262766515085006)	(22, 0.014123257008898582)	(24, 0.020760125904057687)	(26, 0.025518760901886768)	(28, 0.0334830035760777)	(30, 0.06593065560451059)	(32, 0.09671909040915366)	(34, 0.11233564291946305)	(36, 0.12095029874537958)	(38, 0.1253306322161846)	(40, 0.13178166878227923)	(42, 0.14293160852614656)	(44, 0.1576920049489804)	(46, 0.19219044946601743)	(48, 0.215698239092671)	(50, 0.22157850493378195)	(52, 0.23159354009657707)	(54, 0.24010200602017104)	(56, 0.24944008055565992)	(58, 0.25642870350226243)	(60, 0.2611076960733496)	(62, 0.265461482068574)	(64, 0.26855426297371815)	(66, 0.2715474908454349)	(68, 0.2767707066659251)	(70, 0.27977057140653705)	(72, 0.2826775199826167)	(74, 0.2863941665639058)	(76, 0.28921483584434843)	(78, 0.2919425889602588)	(80, 0.2960309001996768)	(82, 0.30128730036464285)	(84, 0.3131142007358164)	(86, 0.3421969602344036)	(88, 0.37331723848380466)
SRR32684367 - illumina_small_rna_3'_adapter	(1, 4.052381625204949e-05)	(2, 5.4031755002732654e-05)	(3, 6.753969375341582e-05)	(4, 8.104763250409898e-05)	(5, 0.00013507938750683163)	(6, 0.0005943493050300592)	(7, 0.0015399050175778806)	(8, 0.0027556195051393656)	(9, 0.004065889563955633)	(10, 0.009577128574234364)	(12, 0.019235304780972826)	(14, 0.05237703250577397)	(16, 0.05996174011428257)	(18, 0.06292673267005752)	(20, 0.06438559005513131)	(22, 0.06668193964274743)	(24, 0.0694037893010101)	(26, 0.07207836117364536)	(28, 0.07453005205689436)	(30, 0.0769412191238913)	(32, 0.07941992588464167)	(34, 0.0823173787466632)	(36, 0.08540394275119431)	(38, 0.08887548301011988)	(40, 0.09346818218535216)	(42, 0.09993848484692938)	(44, 0.1065843907122655)	(46, 0.11389893954576044)	(48, 0.12268585370307983)	(50, 0.13353948248925376)	(52, 0.14617615919051785)	(54, 0.15975839160432978)	(56, 0.1737458621806622)	(58, 0.1882331264907699)	(60, 0.20700240738484416)	(62, 0.23364681657056668)	(64, 0.2614394005500973)	(66, 0.2856118569444448)	(68, 0.31075688492884157)	(70, 0.3383603577658626)	(72, 0.37093475206313503)	(74, 0.4104454729088833)	(76, 0.45500816284738704)	(78, 0.502481813586663)	(80, 0.5551087429593247)	(82, 0.6156310625317605)	(84, 0.6802868113619055)	(86, 0.7484208544203514)	(88, 0.8198778504114653)
SRR32684367 - polya	(1, 0.0010130954063012373)	(2, 0.0014723653238244649)	(3, 0.0018640955475942766)	(4, 0.0026880798113859497)	(5, 0.0037957307889419692)	(6, 0.005430191377774632)	(7, 0.009117858656711136)	(8, 0.016655288479592342)	(9, 0.0333781166529381)	(10, 0.0431713722471834)	(12, 0.058421835096704684)	(14, 0.06966044013727307)	(16, 0.07933887825213756)	(18, 0.08693033983002149)	(20, 0.09392069813350004)	(22, 0.10027618331569646)	(24, 0.10709093841541613)	(26, 0.11493905082956304)	(28, 0.12419874284315635)	(30, 0.13407980003928108)	(32, 0.14653411956741097)	(34, 0.1605891298374968)	(36, 0.16874117087353407)	(38, 0.17692698175644808)	(40, 0.18366068922366363)	(42, 0.19077937294527367)	(44, 0.19933665214383145)	(46, 0.20838021713741384)	(48, 0.2151139246046294)	(50, 0.22088856842054644)	(52, 0.2257581803401677)	(54, 0.23120187965669303)	(56, 0.23651049958571152)	(58, 0.24335227056293254)	(60, 0.24875544606320582)	(62, 0.2548137565928872)	(64, 0.26035201148066733)	(66, 0.2650662821046557)	(68, 0.2704559496661783)	(70, 0.2768046808789994)	(72, 0.28285623743930544)	(74, 0.2889010400302362)	(76, 0.29567527131370375)	(78, 0.3021320660365303)	(80, 0.31018955150131283)	(82, 0.3177539972016954)	(84, 0.32500776031081224)	(86, 0.33120115022800045)	(88, 0.3391775880602789)
SRR32684367 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0001891111425095643)	(4, 0.0003917302237698118)	(5, 0.0007024128150355246)	(6, 0.0012562383038135342)	(7, 0.0023233654651175044)	(8, 0.0032013814839119098)	(9, 0.004146937196459731)	(10, 0.004727778562739107)	(12, 0.0065040725084539435)	(14, 0.008577541106683809)	(16, 0.010819858939297215)	(18, 0.01383212928069956)	(20, 0.01584481215455135)	(22, 0.0194581857703591)	(24, 0.027387345817010116)	(26, 0.03308769596979841)	(28, 0.043563102470953206)	(30, 0.09155005488275514)	(32, 0.1364571972594013)	(34, 0.15875880413677923)	(36, 0.17078086962488725)	(38, 0.1775280850308535)	(40, 0.1865784039938112)	(42, 0.20122100959955175)	(44, 0.21928112370921515)	(46, 0.26280370236391626)	(48, 0.2947094536930299)	(50, 0.30280070900468914)	(52, 0.31715964789666534)	(54, 0.3289520784260117)	(56, 0.3412443026891334)	(58, 0.35149682820090195)	(60, 0.3581292261274874)	(62, 0.36413350490216606)	(64, 0.3690436406380394)	(66, 0.37355529218076755)	(68, 0.38168707130867885)	(70, 0.38644186574891926)	(72, 0.39013628699723113)	(74, 0.39587716096627146)	(76, 0.39968639969396413)	(78, 0.40339432888102666)	(80, 0.40750749623060967)	(82, 0.41378193378030204)	(84, 0.42583776911528676)	(86, 0.45234709891350244)	(88, 0.4814026751662219)
SRR32684368 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 2.36235641745342e-05)	(3, 2.36235641745342e-05)	(4, 2.36235641745342e-05)	(5, 8.26824746108697e-05)	(6, 0.0005315301939270195)	(7, 0.0015119081071701887)	(8, 0.002515909584587892)	(9, 0.004027817691758081)	(10, 0.008770248199795822)	(12, 0.017841696842816952)	(14, 0.04906614279050753)	(16, 0.056123682587649625)	(18, 0.05854509791553938)	(20, 0.06028733577341128)	(22, 0.06317531649374808)	(24, 0.06633496820209203)	(26, 0.06903986630007619)	(28, 0.07136088148022418)	(30, 0.07370552022454671)	(32, 0.07568989961520757)	(34, 0.07825896221918817)	(36, 0.08116466061265587)	(38, 0.08544643161929019)	(40, 0.09035422707654969)	(42, 0.09538014035468183)	(44, 0.10166991431615156)	(46, 0.10761714659709054)	(48, 0.11536567564633776)	(50, 0.12528757259964213)	(52, 0.13711707236004012)	(54, 0.14977930275759047)	(56, 0.1623588506805299)	(58, 0.17621997695993785)	(60, 0.1931226371268171)	(62, 0.2172422961490165)	(64, 0.2429447339709097)	(66, 0.26555248488593897)	(68, 0.2878117882293938)	(70, 0.3143056154511339)	(72, 0.34518751971829376)	(74, 0.3817095499321236)	(76, 0.4251060373207429)	(78, 0.4709770930566447)	(80, 0.5210058960872646)	(82, 0.5788777224238297)	(84, 0.6411966847162509)	(86, 0.7066693928259724)	(88, 0.7747465988859363)
SRR32684368 - polya	(1, 0.0009095072207195667)	(2, 0.0013937902862975178)	(3, 0.0019253204802245373)	(4, 0.003212804727736651)	(5, 0.004299488679765224)	(6, 0.00610669133911709)	(7, 0.009839214478693493)	(8, 0.0182019561964786)	(9, 0.03604955893033919)	(10, 0.0461722561791271)	(12, 0.059655405431742484)	(14, 0.0714022227175296)	(16, 0.07971771730696565)	(18, 0.08807455313370713)	(20, 0.09463009219214037)	(22, 0.10090805437152284)	(24, 0.10799512362388308)	(26, 0.1166413481117626)	(28, 0.12476785418780237)	(30, 0.13571737618269897)	(32, 0.14956078478897603)	(34, 0.16312661651620228)	(36, 0.17119996957284933)	(38, 0.17903708698775106)	(40, 0.18616549747741676)	(42, 0.19650080680377546)	(44, 0.2115903584202592)	(46, 0.22672715716509198)	(48, 0.23490681626052445)	(50, 0.2418344264547066)	(52, 0.24779937640877647)	(54, 0.2542958565567734)	(56, 0.2613238668986973)	(58, 0.26824557120183584)	(60, 0.2742813918484293)	(62, 0.2802994948218919)	(64, 0.2861463269550891)	(66, 0.2909537222646068)	(68, 0.295914670741259)	(70, 0.3029367751921393)	(72, 0.3082697948045404)	(74, 0.3141166269377376)	(76, 0.32089068396478526)	(78, 0.3275938702993094)	(80, 0.33459825707705876)	(82, 0.34177982058611717)	(84, 0.3482763007341141)	(86, 0.3553279346402125)	(88, 0.36568096163970215)
SRR32684368 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00011811782087267099)	(4, 0.0002598592059198762)	(5, 0.0003425416805307459)	(6, 0.0007323304894105602)	(7, 0.0019371322623118043)	(8, 0.0025749684950242277)	(9, 0.0036025935366164655)	(10, 0.004039629473845348)	(12, 0.005917702825720817)	(14, 0.008126506076039765)	(16, 0.010246720960704208)	(18, 0.01244371242893589)	(20, 0.01422138563306959)	(22, 0.017841696842816952)	(24, 0.025980014700943986)	(26, 0.03151974049987226)	(28, 0.04249288605894339)	(30, 0.09079126301377856)	(32, 0.13495551623807023)	(34, 0.15779950279484484)	(36, 0.16882580137330866)	(38, 0.17532228152130558)	(40, 0.18436420070910853)	(42, 0.19979629400612298)	(44, 0.21881326316662303)	(46, 0.26639702730517856)	(48, 0.298300650722887)	(50, 0.30717720496146816)	(52, 0.32165844980045766)	(54, 0.3337182793115574)	(56, 0.3463450743628459)	(58, 0.35670400725337914)	(60, 0.36411590051313925)	(62, 0.3700749445761655)	(64, 0.37404370335748727)	(66, 0.3784849334222997)	(68, 0.3873083346414882)	(70, 0.3918794943092606)	(72, 0.3963738773934657)	(74, 0.4017068970058668)	(76, 0.4056815616782322)	(78, 0.4088175898224016)	(80, 0.41288674875146514)	(82, 0.4182847331653462)	(84, 0.43049811584358033)	(86, 0.45415711536437636)	(88, 0.48428897146899474)
SRR32684369 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 3.321400647938839e-05)	(3, 3.321400647938839e-05)	(4, 3.321400647938839e-05)	(5, 0.000143927361410683)	(6, 0.0004539247552183079)	(7, 0.0012842749172030175)	(8, 0.001970697717777044)	(9, 0.0031110452735693787)	(10, 0.006731371979822712)	(12, 0.01490755324149882)	(14, 0.05181385010784588)	(16, 0.06010074472445329)	(18, 0.06269143722984558)	(20, 0.06405874716324705)	(22, 0.06604051621651724)	(24, 0.06821049797317061)	(26, 0.07027530204263926)	(28, 0.07211867940224531)	(30, 0.07373509438424222)	(32, 0.0753072240242666)	(34, 0.07751595545514592)	(36, 0.07986861424743594)	(38, 0.08276930414663586)	(40, 0.08627338183021133)	(42, 0.09055798866605243)	(44, 0.09509723621823551)	(46, 0.10017897920958194)	(48, 0.10660035379559701)	(50, 0.11443885932473269)	(52, 0.12403217152952936)	(54, 0.13426208552518099)	(56, 0.1454939553829608)	(58, 0.1564822558598918)	(60, 0.17034910356503646)	(62, 0.19067053986267557)	(64, 0.2143023054727604)	(66, 0.2335332152243263)	(68, 0.2532955490795624)	(70, 0.27538286338835566)	(72, 0.3018267482136954)	(74, 0.3338616574630655)	(76, 0.3712384860878705)	(78, 0.4115879682925808)	(80, 0.45598402362003)	(82, 0.507338413304911)	(84, 0.56061367969785)	(86, 0.6204321053672284)	(88, 0.6825533688191778)
SRR32684369 - polya	(1, 0.001151418891285464)	(2, 0.0018046276853801021)	(3, 0.002347123124543446)	(4, 0.0030999739380762493)	(5, 0.0038971100935815705)	(6, 0.005701737778961672)	(7, 0.00987563125987148)	(8, 0.018345202912115516)	(9, 0.034177212667290645)	(10, 0.0436653471849026)	(12, 0.05831825971005944)	(14, 0.07008708933925606)	(16, 0.07934826147925886)	(18, 0.0879396178219273)	(20, 0.0945658121145653)	(22, 0.10057201161958802)	(24, 0.10760230965772524)	(26, 0.11586706160334638)	(28, 0.12549358781462244)	(30, 0.13620510490422522)	(32, 0.14919178143766604)	(34, 0.16257702604885957)	(36, 0.17110195437856926)	(38, 0.180185985150682)	(40, 0.18738235322121613)	(42, 0.1967431673806571)	(44, 0.21058787241481547)	(46, 0.22475364617827465)	(48, 0.23191126457458283)	(50, 0.2382883538186254)	(52, 0.2443000889913947)	(54, 0.25012914712852735)	(56, 0.25616856064002946)	(58, 0.2629497536295713)	(60, 0.268828632776423)	(62, 0.2744473355391862)	(64, 0.27945711484982727)	(66, 0.28392993438905156)	(68, 0.28879578633828196)	(70, 0.29501787688542075)	(72, 0.30036533192860226)	(74, 0.30672581416940514)	(76, 0.3137948618817683)	(78, 0.320310342819475)	(80, 0.3278167082838168)	(82, 0.33546146544182265)	(84, 0.34279622520602093)	(86, 0.3498818799216238)	(88, 0.3603498276303777)
SRR32684369 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00018821270338320085)	(4, 0.0003210687293007544)	(5, 0.0007085654715602855)	(6, 0.0010849908783266873)	(7, 0.0019817690532701734)	(8, 0.002789976544268624)	(9, 0.0036646120482258515)	(10, 0.004018894784005995)	(12, 0.005087278659092987)	(14, 0.006227626214885322)	(16, 0.007473151457862386)	(18, 0.009388492498173783)	(20, 0.010534375721712681)	(22, 0.013113996891611846)	(24, 0.018981804702970465)	(26, 0.0226796307576757)	(28, 0.029073327004957968)	(30, 0.0616673386967311)	(32, 0.09179244257353636)	(34, 0.10682731617320618)	(36, 0.11489278407995099)	(38, 0.11986381371636612)	(40, 0.1267557200608392)	(42, 0.13763884285058547)	(44, 0.15128426384586752)	(46, 0.1838395258634147)	(48, 0.20646379994362477)	(50, 0.21204928869990858)	(52, 0.2213990315238564)	(54, 0.22909360969158138)	(56, 0.23765728769551703)	(58, 0.24486472710154428)	(60, 0.24975272172176094)	(62, 0.25420893425774554)	(64, 0.2575026565669516)	(66, 0.2606856655212263)	(68, 0.2671181114427345)	(70, 0.2701350503646123)	(72, 0.27270913586676493)	(74, 0.27639035491823044)	(76, 0.27917479579475246)	(78, 0.2815772755967616)	(80, 0.2844004661475096)	(82, 0.28859096663165906)	(84, 0.2977912464264497)	(86, 0.3248163763651787)	(88, 0.3534136359439321)
SRR32684370 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 2.434708424188536e-05)	(4, 7.304125272565608e-05)	(5, 0.0001947766739350829)	(6, 0.000876495032707873)	(7, 0.002020807992076485)	(8, 0.0038224922259760016)	(9, 0.006792836503486016)	(10, 0.016361240610546963)	(12, 0.03452416545499344)	(14, 0.09219023448189892)	(16, 0.10564199852554057)	(18, 0.10972013513605638)	(20, 0.11215484356024491)	(22, 0.11620863308651883)	(24, 0.12078588492399328)	(26, 0.12442577401815513)	(28, 0.12813870436504265)	(30, 0.13085340425801287)	(32, 0.13476111127883547)	(34, 0.13870533892602088)	(36, 0.14303911992107649)	(38, 0.14952761787153895)	(40, 0.15671000772289512)	(42, 0.16532887554452252)	(44, 0.17391122273978715)	(46, 0.18441698959016067)	(48, 0.1967244406744337)	(50, 0.21239178938408693)	(52, 0.22988516941188158)	(54, 0.24853503594116574)	(56, 0.26903528087283324)	(58, 0.29031463250024103)	(60, 0.3154408234378667)	(62, 0.35033019515648844)	(64, 0.3884577290792809)	(66, 0.42232452325974346)	(68, 0.45879645545408776)	(70, 0.501002125987396)	(72, 0.5466772560251729)	(74, 0.5995956436249108)	(76, 0.6617050555259603)	(78, 0.7257865812506026)	(80, 0.7976835210168901)	(82, 0.8789419146741824)	(84, 0.9624037194553654)	(86, 1.05234184864489)	(88, 1.1415373917650369)
SRR32684370 - polya	(1, 0.001412130886029351)	(2, 0.001972113823592714)	(3, 0.002556443845397963)	(4, 0.0033598976253801796)	(5, 0.004333780995055594)	(6, 0.00608677106047134)	(7, 0.010542287476736361)	(8, 0.017602941906883114)	(9, 0.03347724083259237)	(10, 0.043849098719635535)	(12, 0.05751998652145417)	(14, 0.07048480888025811)	(16, 0.08046711341943111)	(18, 0.08779558577623861)	(20, 0.09397974517367749)	(22, 0.10006651623414883)	(24, 0.1066767496058207)	(26, 0.11530779096956906)	(28, 0.12499793049783944)	(30, 0.1357349946485109)	(32, 0.148030272190663)	(34, 0.16238287835125442)	(36, 0.17106261388348654)	(38, 0.17924323418876004)	(40, 0.1860604177764879)	(42, 0.19699225860109446)	(44, 0.21028576659716386)	(46, 0.22334797729293535)	(48, 0.2316016388509345)	(50, 0.23897880537622576)	(52, 0.24457863475185937)	(54, 0.2507262735229354)	(56, 0.25633827644069)	(58, 0.26297285689660377)	(60, 0.26849964501951173)	(62, 0.27385600355272655)	(64, 0.2798940804447141)	(66, 0.2845078529085514)	(68, 0.28874424556663947)	(70, 0.2948553637113527)	(72, 0.300735184555768)	(74, 0.3069923852059325)	(76, 0.3144060723575866)	(78, 0.3213815119928868)	(80, 0.32961082646664397)	(82, 0.3379618763616107)	(84, 0.3448399276599433)	(86, 0.3517666731267597)	(88, 0.3608724826332248)
SRR32684370 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0001947766739350829)	(4, 0.0005112887690795926)	(5, 0.0007547596114984462)	(6, 0.0011199658751267266)	(7, 0.0025077496769141923)	(8, 0.003432938878105836)	(9, 0.004698987258683875)	(10, 0.005234623112005352)	(12, 0.006123291686834168)	(14, 0.00726760464620278)	(16, 0.009057115337981354)	(18, 0.011723121062467801)	(20, 0.013074384237892438)	(22, 0.016616884995086758)	(24, 0.025138364479746635)	(26, 0.03167555659869285)	(28, 0.041730902390591504)	(30, 0.09374844787337958)	(32, 0.14226001322533616)	(34, 0.16489062802816862)	(36, 0.17749024412334427)	(38, 0.18405178332653238)	(40, 0.19352279909662579)	(42, 0.21040750201837327)	(44, 0.23096861466064544)	(46, 0.2815862027995252)	(48, 0.31590341803846256)	(50, 0.3240475177173732)	(52, 0.33866794180462534)	(54, 0.3510362605995031)	(56, 0.36425672734284686)	(58, 0.37450684980868065)	(60, 0.38105621546974777)	(62, 0.38669256547174424)	(64, 0.39122112314073487)	(66, 0.39549403642518577)	(68, 0.40406421007832943)	(70, 0.40831277627853846)	(72, 0.4118674505778537)	(74, 0.41736989161651983)	(76, 0.4214967223955194)	(78, 0.4249905289842299)	(80, 0.4299938547959373)	(82, 0.4393918293133051)	(84, 0.45802952230046834)	(86, 0.5020490506097971)	(88, 0.5468842062412289)
SRR32684371 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 1.2072308297780385e-05)	(4, 1.2072308297780385e-05)	(5, 4.828923319112154e-05)	(6, 0.0004346030987200939)	(7, 0.0010382185136091132)	(8, 0.0019194970193470813)	(9, 0.0030542939993384375)	(10, 0.006675986488672553)	(12, 0.014215143020636405)	(14, 0.04361121372573164)	(16, 0.050238910981213074)	(18, 0.05276805956959807)	(20, 0.05405979655746057)	(22, 0.05622073974276326)	(24, 0.05861105678572377)	(26, 0.061013446136982064)	(28, 0.0633313293301559)	(30, 0.0649912717211007)	(32, 0.06677797334917221)	(34, 0.06885441037639042)	(36, 0.07125679972764873)	(38, 0.0741662260274138)	(40, 0.07787242467483238)	(42, 0.08237539566990446)	(44, 0.0878803682536923)	(46, 0.093614714695138)	(48, 0.1002605204130661)	(50, 0.1086326662175768)	(52, 0.11794645206931437)	(54, 0.12780952794860095)	(56, 0.13862631618341215)	(58, 0.14985356290034793)	(60, 0.1632840058816286)	(62, 0.18197193912659265)	(64, 0.20260351400749932)	(66, 0.21915464868375623)	(68, 0.23785465423701804)	(70, 0.25982625533897835)	(72, 0.2848521504402771)	(74, 0.31546752428344815)	(76, 0.3527830292318873)	(78, 0.39146270501797564)	(80, 0.43456688179520053)	(82, 0.4844375873733313)	(84, 0.5382619739189851)	(86, 0.5950199313809996)	(88, 0.6520736603963098)
SRR32684371 - polya	(1, 0.0007484831144623839)	(2, 0.0010261462053113327)	(3, 0.0014848939206269873)	(4, 0.002317883193173834)	(5, 0.0032112340072095826)	(6, 0.004720272544432131)	(7, 0.008812785057379681)	(8, 0.016647713142639152)	(9, 0.034671669431225266)	(10, 0.044860697634551916)	(12, 0.058490333702745964)	(14, 0.07113607664467092)	(16, 0.08119230945672198)	(18, 0.09029482991324839)	(20, 0.09709757563904764)	(22, 0.1035864413491046)	(24, 0.11143344174266184)	(26, 0.12043938373280602)	(28, 0.13055597808634598)	(30, 0.14210314097317292)	(32, 0.15659594708465827)	(34, 0.1707265839472102)	(36, 0.1795454051587388)	(38, 0.18873846792749854)	(40, 0.19692349295339365)	(42, 0.2077161365716093)	(44, 0.2210741457031033)	(46, 0.23626714569585994)	(48, 0.244397845334415)	(50, 0.2519249295580811)	(52, 0.2572729621339978)	(54, 0.2630616339627835)	(56, 0.2700092473881561)	(58, 0.2772647046751221)	(60, 0.2836026665314568)	(62, 0.29001909839172707)	(64, 0.295850023299555)	(66, 0.3012825620335562)	(68, 0.30699276385840635)	(70, 0.3149121981017502)	(72, 0.3210147499462782)	(74, 0.3282943518498398)	(76, 0.3355437729826569)	(78, 0.34325797798493857)	(80, 0.3511894845365803)	(82, 0.3592477503253487)	(84, 0.3670283530232682)	(86, 0.37401218337353415)	(88, 0.3842193200393075)
SRR32684371 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0001690123161689254)	(4, 0.0004346030987200939)	(5, 0.0005794707982934585)	(6, 0.0010502908219068936)	(7, 0.0020160754857293244)	(8, 0.0027645586001917083)	(9, 0.0034285355565696293)	(10, 0.003724307109865249)	(12, 0.004653874848794338)	(14, 0.005897322603465718)	(16, 0.007104553433243756)	(18, 0.008818821211528572)	(20, 0.009983798962264378)	(22, 0.012736285254158305)	(24, 0.01882676479038851)	(26, 0.023009819615569416)	(28, 0.030699880001255522)	(30, 0.06269149699037355)	(32, 0.09236523078631773)	(34, 0.10781174925332773)	(36, 0.11599073812507393)	(38, 0.12040920296206156)	(40, 0.12658418865637622)	(42, 0.13760016997810082)	(44, 0.1517247706865039)	(46, 0.18517713697965332)	(48, 0.20750487117639815)	(50, 0.21347462762965055)	(52, 0.22323508888840599)	(54, 0.23187886162961674)	(56, 0.2400337058847674)	(58, 0.2469451023852467)	(60, 0.2519611464829744)	(62, 0.2563977197824087)	(64, 0.25958480917302273)	(66, 0.26277793471778566)	(68, 0.2683372326889135)	(70, 0.2713190928384653)	(72, 0.27384220527270137)	(74, 0.27758462084501334)	(76, 0.2806570233067984)	(78, 0.28320428035763007)	(80, 0.28646380359803075)	(82, 0.29091244920576287)	(84, 0.3000330781247359)	(86, 0.320145543748838)	(88, 0.3466804773873593)
SRR32684372 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 1.0058943396514898e-05)	(3, 3.0176830189544694e-05)	(4, 4.0235773586059594e-05)	(5, 9.053049056863408e-05)	(6, 0.0005733597736013492)	(7, 0.0014384289057016305)	(8, 0.002404087471767061)	(9, 0.0034401586416080952)	(10, 0.008102478905892751)	(12, 0.01646649034009489)	(14, 0.04118634373703025)	(16, 0.04728206343531828)	(18, 0.04914296796367353)	(20, 0.05047577796371176)	(22, 0.05255797924679034)	(24, 0.05486650675629051)	(26, 0.05693864909597258)	(28, 0.05938800181302396)	(30, 0.061354525247042616)	(32, 0.06304442773765712)	(34, 0.06513668796413222)	(36, 0.06782745532269996)	(38, 0.0710010519643004)	(40, 0.07479327362478652)	(42, 0.07972215588907883)	(44, 0.08507351377602475)	(46, 0.0909177598893999)	(48, 0.09815516966319238)	(50, 0.10752507543704601)	(52, 0.11864523736189322)	(54, 0.13013255072071322)	(56, 0.1422133417399276)	(58, 0.15477696204217473)	(60, 0.16899024906145027)	(62, 0.18838389192993102)	(64, 0.2094272015154402)	(66, 0.22816198359144918)	(68, 0.2487828175543047)	(70, 0.2737843213663425)	(72, 0.30298040457472697)	(74, 0.3372411657832567)	(76, 0.3768784322372237)	(78, 0.41908072925730194)	(80, 0.46509033635296104)	(82, 0.5192979823167798)	(84, 0.5765484586580445)	(86, 0.6362834940182482)	(88, 0.6963454450388387)
SRR32684372 - polya	(1, 0.0010159532830480047)	(2, 0.0015490772830632942)	(3, 0.002182790717043733)	(4, 0.002967388301971895)	(5, 0.003862634264261721)	(6, 0.0060856607548915136)	(7, 0.00977729298141248)	(8, 0.01811615705712333)	(9, 0.0365944360765212)	(10, 0.04663326158624306)	(12, 0.061580851473464204)	(14, 0.07406902970023746)	(16, 0.08411288468165758)	(18, 0.09260263290831615)	(20, 0.09930188921039507)	(22, 0.10536743207849356)	(24, 0.11251934083341565)	(26, 0.12074755653176483)	(28, 0.130479584267893)	(30, 0.14094591487196675)	(32, 0.15370065509874764)	(34, 0.16871865758974436)	(36, 0.17690160804280924)	(38, 0.18607536442043082)	(40, 0.19383583925084208)	(42, 0.20458382027001826)	(44, 0.21860095789306178)	(46, 0.2323163272142098)	(48, 0.23999633049744895)	(50, 0.24668049838443312)	(52, 0.25217268147893024)	(54, 0.25782580766777163)	(56, 0.26407241151700733)	(58, 0.27139532230967023)	(60, 0.2775564251400356)	(62, 0.28377788163078005)	(64, 0.28890794276300263)	(66, 0.2940882986122078)	(68, 0.2991429176689565)	(70, 0.3055454351408383)	(72, 0.3119378936693235)	(74, 0.31900430140537517)	(76, 0.3270162498206993)	(78, 0.33431401325487087)	(80, 0.34215495963245424)	(82, 0.3497243145383317)	(84, 0.35670522125551307)	(86, 0.3641236920104428)	(88, 0.374559845784327)
