Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR32684373	(1, 33.213054969025066)	(2, 33.39479650934263)	(3, 33.359561113238016)	(4, 33.36461005735188)	(5, 33.42783680846605)	(6, 33.47401646516161)	(7, 33.523798523587274)	(8, 33.52236828416448)	(9, 33.58185668343339)	(10, 33.50480170556604)	(12, 33.471359358845994)	(14, 33.471380359270285)	(16, 33.47851732583361)	(18, 33.48445699189094)	(20, 33.48498366042645)	(22, 33.47837709273718)	(24, 33.46937440426839)	(26, 33.52696226513892)	(28, 33.5265720993613)	(30, 33.52610732681316)	(32, 33.521659243523274)	(34, 33.520033921211656)	(36, 33.503077183881786)	(38, 33.49646895826429)	(40, 33.49533852753038)	(42, 33.488469869019525)	(44, 33.475935517091926)	(46, 33.46559349893181)	(48, 33.46997512693167)	(50, 33.466068357210034)	(52, 33.45025697196816)	(54, 33.43283946875006)	(56, 33.43269329474413)	(58, 33.426941665380625)	(60, 33.421106448802)	(62, 33.423998151962664)	(64, 33.42079240956244)	(66, 33.40802511871802)	(68, 33.39545208179831)	(70, 33.37736781510895)	(72, 33.364507818444146)	(74, 33.35467326448418)	(76, 33.34110878648081)	(78, 33.34171116707233)	(80, 33.33074328100405)	(82, 33.31168719204847)	(84, 33.29227147082689)	(86, 33.299106556291015)	(88, 33.27983383137958)	(90, 33.27247373530817)	(92, 33.26141728824008)	(94, 33.239678809563316)	(96, 33.24494135009793)	(98, 33.23578254005382)	(100, 33.23144360370597)
SRR32684374	(1, 33.21345400415768)	(2, 33.394257506833114)	(3, 33.35220777922359)	(4, 33.35923504452823)	(5, 33.422335261703395)	(6, 33.47196415524111)	(7, 33.51896836493507)	(8, 33.520840434067566)	(9, 33.5792277834752)	(10, 33.49657814039281)	(12, 33.46667426603024)	(14, 33.4670779664406)	(16, 33.47365911628238)	(18, 33.47919819392666)	(20, 33.4781544806706)	(22, 33.47145870919887)	(24, 33.4610470761638)	(26, 33.52317730148367)	(28, 33.52550154537224)	(30, 33.52146365762165)	(32, 33.51648569577601)	(34, 33.5108768100245)	(36, 33.495488477496544)	(38, 33.4878656341631)	(40, 33.48873489026873)	(42, 33.48397960744869)	(44, 33.46918988259614)	(46, 33.45830764445481)	(48, 33.46290601682767)	(50, 33.45947355345736)	(52, 33.443851685670126)	(54, 33.42766377890851)	(56, 33.42487221203083)	(58, 33.418845108812285)	(60, 33.410972698339606)	(62, 33.41442700041254)	(64, 33.40685351507173)	(66, 33.39327703744996)	(68, 33.38332755175773)	(70, 33.36264213460821)	(72, 33.351734523176546)	(74, 33.34097145113508)	(76, 33.325448930509495)	(78, 33.32595046325821)	(80, 33.315596772214505)	(82, 33.30385449314265)	(84, 33.28221435860614)	(86, 33.28432905193773)	(88, 33.2644283132594)	(90, 33.25963048915159)	(92, 33.2457343838128)	(94, 33.22546895142416)	(96, 33.230815646508916)	(98, 33.21888653922963)	(100, 33.21386452127292)
SRR32684375	(1, 33.198098384889256)	(2, 33.381471508396494)	(3, 33.34512603748564)	(4, 33.35148415207379)	(5, 33.41541495772971)	(6, 33.4602399300882)	(7, 33.51083580022335)	(8, 33.510389404603465)	(9, 33.57068354707169)	(10, 33.4854942836421)	(12, 33.45517112293942)	(14, 33.45557406300375)	(16, 33.45925758261657)	(18, 33.46421655427423)	(20, 33.4661573171724)	(22, 33.45983787173079)	(24, 33.448341924937516)	(26, 33.510597991270096)	(28, 33.51025727452298)	(30, 33.507933472945325)	(32, 33.50249963912995)	(34, 33.50114571516886)	(36, 33.49026091723215)	(38, 33.48353047040575)	(40, 33.485957053819135)	(42, 33.47840787913461)	(44, 33.4663587242255)	(46, 33.45580570000854)	(48, 33.45937774667452)	(50, 33.45568087549971)	(52, 33.44417787505105)	(54, 33.425961180207544)	(56, 33.421901927486914)	(58, 33.41223716001696)	(60, 33.40523048700704)	(62, 33.40598195322268)	(64, 33.40190317699158)	(66, 33.385683926205665)	(68, 33.377479769234625)	(70, 33.357731423505754)	(72, 33.35064237387749)	(74, 33.342979962832274)	(76, 33.32466842151536)	(78, 33.320112012047645)	(80, 33.31208583391715)	(82, 33.30430111752574)	(84, 33.28545375031521)	(86, 33.28222934809361)	(88, 33.25705611157673)	(90, 33.24480907644222)	(92, 33.24155406639454)	(94, 33.22278114044004)	(96, 33.22804795377236)	(98, 33.21872176176127)	(100, 33.20608765728707)
SRR32684376	(1, 33.199189709382146)	(2, 33.384347788912045)	(3, 33.34520598688087)	(4, 33.34639624134012)	(5, 33.40806033750726)	(6, 33.45508190559061)	(7, 33.50794917149452)	(8, 33.510257212007495)	(9, 33.57235272979751)	(10, 33.489710594294365)	(12, 33.45870662925594)	(14, 33.45551710704039)	(16, 33.46023146356592)	(18, 33.46756510979941)	(20, 33.467553118624394)	(22, 33.4598984477815)	(24, 33.450976492213755)	(26, 33.51010276045973)	(28, 33.51323102341159)	(30, 33.51256003896611)	(32, 33.507757573371975)	(34, 33.50383346134782)	(36, 33.492787112719256)	(38, 33.486545184767714)	(40, 33.48631852549213)	(42, 33.4803221559507)	(44, 33.4680136058128)	(46, 33.45549951129445)	(48, 33.46051104041821)	(50, 33.45485654970362)	(52, 33.4412143723617)	(54, 33.42315279533189)	(56, 33.421837545906975)	(58, 33.415043241871516)	(60, 33.40450912495834)	(62, 33.406373491995694)	(64, 33.39894678381697)	(66, 33.38823814317176)	(68, 33.3811060008141)	(70, 33.36111332325119)	(72, 33.34735644771346)	(74, 33.33605124611118)	(76, 33.321867901827204)	(78, 33.321673175572045)	(80, 33.312479854500125)	(82, 33.30107377062107)	(84, 33.276676812677906)	(86, 33.27379632389676)	(88, 33.259005339852706)	(90, 33.25696827382735)	(92, 33.24279822410698)	(94, 33.219204805228784)	(96, 33.222995841278035)	(98, 33.21402735473767)	(100, 33.207389848349436)
SRR32684377	(1, 33.229099957704946)	(2, 33.40531955024056)	(3, 33.36326900434562)	(4, 33.36769416165854)	(5, 33.432551787372006)	(6, 33.47801240935593)	(7, 33.528502472425494)	(8, 33.52780529596609)	(9, 33.5848113237629)	(10, 33.507191662761045)	(12, 33.47699877205976)	(14, 33.4738242968523)	(16, 33.48002957645387)	(18, 33.4867824656631)	(20, 33.48623858620219)	(22, 33.48114428869411)	(24, 33.47047378278393)	(26, 33.530619029885095)	(28, 33.533544427551824)	(30, 33.53265496804407)	(32, 33.527427468198994)	(34, 33.52484367977773)	(36, 33.51380461130367)	(38, 33.506505436087245)	(40, 33.50731259171198)	(42, 33.500471622908634)	(44, 33.48754618312734)	(46, 33.48114850015011)	(48, 33.48390255172119)	(50, 33.47942132187978)	(52, 33.46480022958451)	(54, 33.447837808406426)	(56, 33.44401934141251)	(58, 33.43951789658229)	(60, 33.43052740063521)	(62, 33.42968077765137)	(64, 33.423515807700106)	(66, 33.41190506415552)	(68, 33.401041673560414)	(70, 33.3807014240136)	(72, 33.368140335340186)	(74, 33.35961550609969)	(76, 33.345158540261224)	(78, 33.34360090317682)	(80, 33.335772408104525)	(82, 33.319617623860424)	(84, 33.29980488925976)	(86, 33.303433118769675)	(88, 33.28688125438819)	(90, 33.28434932703941)	(92, 33.27379204913205)	(94, 33.250611232675126)	(96, 33.25450983766041)	(98, 33.245210220842736)	(100, 33.239970327284276)
SRR32684378	(1, 33.20656910827043)	(2, 33.38532828230371)	(3, 33.341493100472306)	(4, 33.35037992882983)	(5, 33.40715963305755)	(6, 33.454760110714744)	(7, 33.50650515206281)	(8, 33.50681202855116)	(9, 33.56877338162782)	(10, 33.48753577865109)	(12, 33.451430579502414)	(14, 33.45199680596656)	(16, 33.46406240262573)	(18, 33.467661198285015)	(20, 33.46579570398096)	(22, 33.46125046975709)	(24, 33.44982632364485)	(26, 33.50902452934589)	(28, 33.51466712241759)	(30, 33.51081637329274)	(32, 33.50489633240106)	(34, 33.49901406092332)	(36, 33.48504394156568)	(38, 33.47894292223215)	(40, 33.476737975320205)	(42, 33.47059084582714)	(44, 33.45882834871493)	(46, 33.44230706281746)	(48, 33.45232587198561)	(50, 33.45043142113086)	(52, 33.43383648487618)	(54, 33.41963880479949)	(56, 33.4177504914745)	(58, 33.41263194902136)	(60, 33.40658900016178)	(62, 33.40330353326573)	(64, 33.39879764218138)	(66, 33.38430252796982)	(68, 33.37360229562498)	(70, 33.35295375701803)	(72, 33.340052354702635)	(74, 33.32921977203641)	(76, 33.314720723510895)	(78, 33.31744924892373)	(80, 33.30826057999971)	(82, 33.28882176424709)	(84, 33.26815544254107)	(86, 33.269738453103294)	(88, 33.24910281904611)	(90, 33.242010195223806)	(92, 33.230854211950614)	(94, 33.2069721393918)	(96, 33.20552808879841)	(98, 33.195529108572586)	(100, 33.19295732622765)
SRR32684379	(1, 33.20309929271682)	(2, 33.38327183023302)	(3, 33.3405626590258)	(4, 33.347631033694825)	(5, 33.41082268357554)	(6, 33.45651692674866)	(7, 33.507658049695536)	(8, 33.508613058783574)	(9, 33.56635277750458)	(10, 33.48536360916179)	(12, 33.456419761853894)	(14, 33.4529133571422)	(16, 33.45963734614444)	(18, 33.46510250004977)	(20, 33.46540038325162)	(22, 33.45695000881021)	(24, 33.44854866252671)	(26, 33.50853416802039)	(28, 33.51235034154798)	(30, 33.511086900775624)	(32, 33.50584980208967)	(34, 33.50460983540505)	(36, 33.49261353658525)	(38, 33.483753108459496)	(40, 33.48406748295083)	(42, 33.477910734878606)	(44, 33.46602289228692)	(46, 33.45750907838057)	(48, 33.46201179468909)	(50, 33.454416590177786)	(52, 33.441173639015474)	(54, 33.42355277049206)	(56, 33.41967761460481)	(58, 33.41391324036604)	(60, 33.404436246012004)	(62, 33.405477574372)	(64, 33.40523020502981)	(66, 33.39298163405205)	(68, 33.38161958131141)	(70, 33.36348376855976)	(72, 33.35007560736231)	(74, 33.34051229373631)	(76, 33.32751760333724)	(78, 33.32453253137133)	(80, 33.31399326026256)	(82, 33.29517120187032)	(84, 33.27417957320543)	(86, 33.27432799481074)	(88, 33.255293481067554)	(90, 33.25191514384713)	(92, 33.23930153594819)	(94, 33.216674595361695)	(96, 33.218181245511325)	(98, 33.20935587994698)	(100, 33.205191457928045)
SRR32684380	(1, 33.19793122293668)	(2, 33.37319472005036)	(3, 33.332576990623664)	(4, 33.3404148857786)	(5, 33.402828974078844)	(6, 33.448595053663865)	(7, 33.501177550932574)	(8, 33.50046485002689)	(9, 33.56208223775121)	(10, 33.47685135013914)	(12, 33.442986131239635)	(14, 33.43919227576366)	(16, 33.4434696478599)	(18, 33.45074897113366)	(20, 33.451859244552594)	(22, 33.44418779318866)	(24, 33.4345437754948)	(26, 33.497958989494336)	(28, 33.49957559425878)	(30, 33.49918268839389)	(32, 33.49337232231607)	(34, 33.48913345006868)	(36, 33.47931624786955)	(38, 33.47019774663107)	(40, 33.472401571312346)	(42, 33.46762188637334)	(44, 33.45664917019215)	(46, 33.445384010714626)	(48, 33.448417850655844)	(50, 33.44494469762452)	(52, 33.42908859320775)	(54, 33.41207632666331)	(56, 33.407733751119345)	(58, 33.40110516603157)	(60, 33.39135900059059)	(62, 33.395288577755956)	(64, 33.390631003448654)	(66, 33.37818297824461)	(68, 33.36678818964637)	(70, 33.35130438006429)	(72, 33.33940416752438)	(74, 33.33166245717702)	(76, 33.31451122821518)	(78, 33.31108383426347)	(80, 33.29932634338547)	(82, 33.284838863225204)	(84, 33.26261213567088)	(86, 33.2624840620996)	(88, 33.24731926978361)	(90, 33.24576657217568)	(92, 33.23500554034862)	(94, 33.208710143582394)	(96, 33.21122391149131)	(98, 33.20127150611927)	(100, 33.19973799362121)
SRR32684381	(1, 33.21098391425356)	(2, 33.39378538462058)	(3, 33.34682279032043)	(4, 33.352937817621196)	(5, 33.415208732806164)	(6, 33.46328018080578)	(7, 33.51636025833958)	(8, 33.51642927005377)	(9, 33.573761058605314)	(10, 33.49270434436109)	(12, 33.46214873252373)	(14, 33.461061491033696)	(16, 33.46871663384927)	(18, 33.475223382445854)	(20, 33.47655744519125)	(22, 33.46770724543181)	(24, 33.45999303743026)	(26, 33.51699818690754)	(28, 33.52133855710259)	(30, 33.51742465965375)	(32, 33.51139276568128)	(34, 33.50844564621427)	(36, 33.4966753422496)	(38, 33.48920893787656)	(40, 33.489514578724624)	(42, 33.48139587857622)	(44, 33.46958713926183)	(46, 33.4602436653816)	(48, 33.46277720575007)	(50, 33.45723035852322)	(52, 33.44271898786094)	(54, 33.425045849197126)	(56, 33.423234721488)	(58, 33.41739733740036)	(60, 33.40734569527153)	(62, 33.404608066879966)	(64, 33.39758643195316)	(66, 33.385442703392684)	(68, 33.37614454147426)	(70, 33.35681585844985)	(72, 33.345793263253285)	(74, 33.33516644164182)	(76, 33.31983012312206)	(78, 33.31989520534362)	(80, 33.309673735455505)	(82, 33.294994501780245)	(84, 33.27266110766257)	(86, 33.27430645990168)	(88, 33.258344983664976)	(90, 33.25572855556149)	(92, 33.24449843403579)	(94, 33.22036140280431)	(96, 33.22257579469384)	(98, 33.21630100895863)	(100, 33.2088799165474)
SRR32684382	(1, 33.19735860470068)	(2, 33.38033415678209)	(3, 33.33751716712778)	(4, 33.343959067077776)	(5, 33.40356169278338)	(6, 33.45004230616213)	(7, 33.50241098862979)	(8, 33.50102289302216)	(9, 33.56216790509763)	(10, 33.47754984705798)	(12, 33.44931489819351)	(14, 33.446040910768986)	(16, 33.45145802815624)	(18, 33.45628547856785)	(20, 33.45858863307116)	(22, 33.449920333059545)	(24, 33.44032446409045)	(26, 33.5038371356754)	(28, 33.50570778085447)	(30, 33.50416343978745)	(32, 33.497907105754194)	(34, 33.495139775832726)	(36, 33.481180240930755)	(38, 33.472534224466735)	(40, 33.47645808353933)	(42, 33.467284168529815)	(44, 33.45520518260585)	(46, 33.444764754151876)	(48, 33.44798635569259)	(50, 33.44188874306848)	(52, 33.430640764062446)	(54, 33.410274513759305)	(56, 33.405515217121895)	(58, 33.39693917881608)	(60, 33.388124276517715)	(62, 33.38844992906404)	(64, 33.380252450440935)	(66, 33.36162861718338)	(68, 33.3503941907443)	(70, 33.330556229926074)	(72, 33.32092426421615)	(74, 33.312895150174825)	(76, 33.29537923926574)	(78, 33.290316573629596)	(80, 33.281563570074525)	(82, 33.267605338303994)	(84, 33.250018276418416)	(86, 33.249656787757544)	(88, 33.2319998780269)	(90, 33.22984997178069)	(92, 33.219322885086086)	(94, 33.19581504551252)	(96, 33.19830897845833)	(98, 33.188460041363996)	(100, 33.18061936012858)
