Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR32684373	(1, 0.0)	(2, 0.00023487316641772414)	(3, 9.671248028965111e-05)	(4, 1.3816068612807301e-05)	(5, 0.00087041232260686)	(6, 0.0)	(7, 5.5264274451229204e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 6.9080343064036505e-06)	(14, 1.3816068612807301e-05)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 5.5264274451229204e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.3816068612807301e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684374	(1, 1.2623527528631422e-05)	(2, 0.00015148233034357708)	(3, 7.574116517178854e-05)	(4, 1.2623527528631422e-05)	(5, 0.0008457763444183054)	(6, 1.2623527528631422e-05)	(7, 6.311763764315712e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 6.311763764315711e-06)	(14, 1.2623527528631422e-05)	(16, 0.0)	(18, 0.0)	(20, 1.2623527528631422e-05)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 3.787058258589427e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 2.5247055057262844e-05)	(78, 1.8935291292947134e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684375	(1, 3.778743960622465e-05)	(2, 0.00010076650561659908)	(3, 0.00011336231881867395)	(4, 0.0)	(5, 0.000982473429761841)	(6, 0.0)	(7, 2.519162640414977e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 6.297906601037442e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 8.817069241452417e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.2595813202074884e-05)	(78, 3.778743960622465e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684376	(1, 2.6067771775094045e-05)	(2, 0.00015640663065056426)	(3, 0.0001303388588754702)	(4, 1.3033885887547022e-05)	(5, 0.0007429314955901803)	(6, 0.0)	(7, 1.3033885887547022e-05)	(8, 0.0)	(9, 0.0)	(10, 6.516942943773511e-06)	(12, 1.3033885887547022e-05)	(14, 6.516942943773511e-06)	(16, 0.0)	(18, 6.516942943773511e-06)	(20, 6.516942943773511e-06)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 4.5618600606414574e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.3033885887547022e-05)	(78, 0.0)	(80, 0.0)	(82, 6.516942943773511e-06)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684377	(1, 4.81309257442094e-05)	(2, 0.00018049097154078524)	(3, 0.00013236004579657583)	(4, 0.0)	(5, 0.0008783893948318215)	(6, 0.0)	(7, 0.00010829458292447113)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 6.016365718026175e-06)	(14, 1.8049097154078524e-05)	(16, 0.0)	(18, 6.016365718026175e-06)	(20, 1.8049097154078524e-05)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 7.821275433434027e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 3.609819430815705e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684378	(1, 0.0)	(2, 7.86862790643509e-05)	(3, 6.294902325148072e-05)	(4, 1.573725581287018e-05)	(5, 0.00086554906970786)	(6, 0.0)	(7, 9.442353487722109e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 5.508039534504563e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 2.3605883719305272e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684379	(1, 0.0)	(2, 0.00013371315793930788)	(3, 7.428508774405994e-05)	(4, 0.0)	(5, 0.0009211350880263434)	(6, 0.0)	(7, 4.457105264643596e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.4857017548811988e-05)	(14, 1.4857017548811988e-05)	(16, 0.0)	(18, 0.0)	(20, 7.428508774405994e-06)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 6.685657896965394e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 2.228552632321798e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684380	(1, 7.777747242918232e-05)	(2, 0.00014259203278683426)	(3, 6.481456035765193e-05)	(4, 0.0)	(5, 0.001179624998509265)	(6, 1.2962912071530386e-05)	(7, 9.07403845007127e-05)	(8, 0.0)	(9, 0.0)	(10, 1.944436810729558e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 1.2962912071530386e-05)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 4.537019225035635e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 4.537019225035635e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684381	(1, 6.139832222944676e-05)	(2, 0.00019647463113422963)	(3, 9.823731556711481e-05)	(4, 0.0)	(5, 0.0011174494645759309)	(6, 2.4559328891778703e-05)	(7, 4.9118657783557406e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.2279664445889352e-05)	(16, 0.0)	(18, 0.0)	(20, 1.2279664445889352e-05)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 9.823731556711481e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.2279664445889352e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684382	(1, 0.0)	(2, 0.00013031314378765315)	(3, 0.00011728182940888785)	(4, 0.0)	(5, 0.000820972805862215)	(6, 1.3031314378765316e-05)	(7, 1.3031314378765316e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.3031314378765316e-05)	(14, 0.0)	(16, 0.0)	(18, 6.515657189382658e-06)	(20, 6.515657189382658e-06)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00011076617221950518)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 2.606262875753063e-05)	(78, 0.0)	(80, 0.0)	(82, 1.9546971568147978e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
