#Transcript position	Transcript coverage profile
0.0	18676.962552470395
1.0	21737.078273059946
2.0	23045.02877223947
3.0	25722.99055143517
4.0	28952.3728114642
5.0	32973.20341426225
6.0	35950.49776595706
7.0	37836.33159167284
8.0	40293.480539692544
9.0	42510.97191741792
10.0	43774.23644054976
11.0	44456.27578032844
12.0	45443.33980140075
13.0	46012.37233885053
14.0	45953.27985878514
15.0	45852.19963978195
16.0	45845.919246419675
17.0	46236.10843903221
18.0	46347.700434740036
19.0	46437.67151977748
20.0	46582.7359505963
21.0	46529.32547295387
22.0	46829.087985516744
23.0	47229.19081048062
24.0	46346.06956682596
25.0	45491.01921612713
26.0	45283.14302090625
27.0	45074.74540804293
28.0	44963.73812092519
29.0	44750.04505054789
30.0	45009.58255127309
31.0	45223.85553521427
32.0	45545.40540850611
33.0	45811.104387125524
34.0	45880.54629288144
35.0	45902.86649383594
36.0	45800.5645759819
37.0	45702.66141531044
38.0	45794.75998430898
39.0	45277.922350316
40.0	45071.376560150995
41.0	45056.57111381007
42.0	44719.43902504528
43.0	44740.39103041908
44.0	44799.16865327812
45.0	44633.27338156863
46.0	44355.93358334969
47.0	44477.77371809353
48.0	44137.70483710327
49.0	43919.37946167072
50.0	43379.30864735652
51.0	43104.63399771055
52.0	42739.03174775051
53.0	42732.60685320773
54.0	42888.45465123892
55.0	42998.057864073045
56.0	42914.33428234237
57.0	43037.3866571426
58.0	42838.247243933605
59.0	42392.01473016964
60.0	42247.7444540558
61.0	41742.52020846805
62.0	41438.17010397946
63.0	41025.031562796146
64.0	40963.92846209614
65.0	40430.93502625615
66.0	40143.400491274224
67.0	40153.57106564263
68.0	40038.63985372755
69.0	39848.37785156339
70.0	39655.25619958887
71.0	39834.421042154005
72.0	40034.3342585883
73.0	39837.86757757827
74.0	39721.87686029893
75.0	39425.71510156915
76.0	39599.02255587702
77.0	39994.73017800879
78.0	40045.3572857812
79.0	40186.82571099913
80.0	39643.30387791789
81.0	39451.73029910084
82.0	38843.37617495306
83.0	37958.74630149781
84.0	36873.59542620668
85.0	36441.162944274285
86.0	36220.062212675235
87.0	35809.826469303334
88.0	35444.11325707956
89.0	34515.32801687288
90.0	33660.796622228765
91.0	33102.89153683182
92.0	32343.88916307553
93.0	31306.58364942759
94.0	29291.09062027132
95.0	25630.178698379397
96.0	20778.5100542224
97.0	14759.077106466966
98.0	8253.652545305453
99.0	2453.2005053826542
