#Transcript position	Transcript coverage profile
0.0	17517.57197925273
1.0	20707.843156248317
2.0	21943.255173372803
3.0	24217.5579686116
4.0	26808.818282647208
5.0	29738.60446426689
6.0	32308.799242488156
7.0	33997.94759336248
8.0	35881.09343454029
9.0	37506.07280844557
10.0	38549.05569490637
11.0	39576.22247839148
12.0	40532.466154026326
13.0	41085.69054445564
14.0	40974.69322613939
15.0	40950.05205900079
16.0	40806.242684061704
17.0	40970.11947858231
18.0	41293.84747442412
19.0	41697.44721413821
20.0	42150.114861558286
21.0	42300.85929023696
22.0	42547.690120533574
23.0	42900.20791909355
24.0	42351.27279588229
25.0	41700.68352349774
26.0	41401.29854485873
27.0	41329.0156983783
28.0	41478.25082430124
29.0	41340.68642456432
30.0	41295.125945919186
31.0	41380.802485419066
32.0	41500.28349619464
33.0	41753.10480570862
34.0	41777.01782747675
35.0	41783.57858807596
36.0	41854.34332027165
37.0	41772.67909368577
38.0	41695.00516345555
39.0	41320.75400156882
40.0	41148.70363247217
41.0	41032.184345103604
42.0	40576.166973389285
43.0	40329.45948963955
44.0	40152.93479104772
45.0	40151.4554947325
46.0	40100.09939580658
47.0	40215.62011484761
48.0	40110.72074926227
49.0	39838.49917164204
50.0	39406.65180309774
51.0	39122.170318678574
52.0	38903.24568961995
53.0	38789.748181250296
54.0	38845.41356833692
55.0	38903.63282803429
56.0	38722.57710601026
57.0	38815.120116796774
58.0	38650.703823364434
59.0	38544.50118361784
60.0	38595.350766186755
61.0	38354.50352870792
62.0	38123.63929941969
63.0	37965.50118632199
64.0	37855.87217464891
65.0	37395.015221592854
66.0	37084.91727118882
67.0	36919.38462659291
68.0	36869.68070881664
69.0	36873.137090327975
70.0	36929.70472463208
71.0	37006.72946610544
72.0	37047.49553910204
73.0	37044.85589223159
74.0	36972.196056309935
75.0	36896.17220499196
76.0	36805.90783180762
77.0	36761.41237370577
78.0	36527.18442948355
79.0	36479.991140215156
80.0	36216.77218210723
81.0	36227.213947571145
82.0	35991.18638609234
83.0	35621.10694999939
84.0	34928.84793093972
85.0	34570.11035761307
86.0	34326.28599086458
87.0	34063.516653946
88.0	33527.89781978838
89.0	32362.822714450096
90.0	31088.073934005628
91.0	29996.60798420772
92.0	28796.213630845858
93.0	26986.514262534383
94.0	24817.31293805261
95.0	21815.697202573778
96.0	17701.732220781618
97.0	12635.261623505841
98.0	7205.541238548357
99.0	2096.1711438985026
