#Transcript position	Transcript coverage profile
0.0	2248.3381033864935
1.0	2574.167569127584
2.0	2851.6281503100613
3.0	3262.894416572463
4.0	3584.1051345238343
5.0	4328.385096469628
6.0	5096.721348225677
7.0	5563.555657405185
8.0	6148.765644631073
9.0	6755.9792896250665
10.0	6939.162867222586
11.0	7466.648065139976
12.0	7976.103766919641
13.0	7956.92998464069
14.0	7637.7793326972715
15.0	7378.345174691167
16.0	7082.415792373839
17.0	6775.7759355423395
18.0	6596.029575209866
19.0	6543.718660465933
20.0	6725.6187942561655
21.0	6919.667730584821
22.0	7100.956748217651
23.0	7286.359597556343
24.0	6872.611221630061
25.0	6429.855368640184
26.0	6268.415040532304
27.0	6266.48380872178
28.0	6216.859050430283
29.0	5979.208005583217
30.0	5860.331044725387
31.0	5765.751599073532
32.0	5941.731975744545
33.0	6255.15167617469
34.0	6256.604457544448
35.0	6114.7866711404495
36.0	6121.468689444095
37.0	5995.115894859551
38.0	5956.9899700624555
39.0	5685.553216623183
40.0	5762.115844124693
41.0	5711.168051973642
42.0	5448.086241565404
43.0	5450.655966243535
44.0	5553.190930721772
45.0	5732.9920724643935
46.0	5908.050122154346
47.0	6120.445551799998
48.0	6235.4012395055215
49.0	6191.725922182856
50.0	6081.50681013854
51.0	6071.571094597078
52.0	6111.634173615784
53.0	5978.919747498474
54.0	6013.48859839369
55.0	6108.151469900386
56.0	6181.269704681606
57.0	6363.724710401545
58.0	6411.4737386770075
59.0	6437.2166827345545
60.0	6443.986574569266
61.0	6187.9689512421255
62.0	6090.488755518266
63.0	5864.949659057164
64.0	5829.111175818005
65.0	5630.898730395198
66.0	5561.436810506706
67.0	5590.367153317693
68.0	5579.324908322497
69.0	5579.8012211903515
70.0	5406.244753603751
71.0	5376.031140715985
72.0	5217.095548062998
73.0	4975.356253085183
74.0	4876.628953363512
75.0	4763.124588507168
76.0	4840.187365234035
77.0	4916.609931006539
78.0	4917.453642930806
79.0	5117.863652374488
80.0	5068.726318307734
81.0	5142.348251067636
82.0	5041.452646342352
83.0	4873.539299526182
84.0	4527.6912352619
85.0	4372.566225873947
86.0	4222.704363831897
87.0	4049.110807597121
88.0	3949.8232736292916
89.0	3529.7700563120734
90.0	3249.996697247519
91.0	3034.932505719298
92.0	2811.5678238876835
93.0	2522.861781465502
94.0	2235.8909634725364
95.0	1837.552507639679
96.0	1322.9423622243169
97.0	998.2122873687916
98.0	598.8816226836022
99.0	166.09245814421374
