Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR1039513_pass_2P	(36, 117.0)	(37, 128.0)	(38, 117.0)	(39, 111.0)	(40, 114.0)	(41, 119.0)	(42, 105.0)	(43, 117.0)	(44, 105.0)	(45, 155.0)	(46, 129.0)	(47, 104.0)	(48, 149.0)	(49, 138.0)	(50, 132.0)	(51, 179.0)	(52, 248.0)	(53, 464.0)	(54, 432.0)	(55, 366.0)	(56, 876.0)	(57, 1911.0)	(58, 7003.0)	(59, 39879.0)	(60, 264265.0)	(61, 0.0)	(62, 0.0)	(63, 16492091.0)
SRR1039514_pass_1P	(36, 396.0)	(37, 420.0)	(38, 354.0)	(39, 404.0)	(40, 394.0)	(41, 414.0)	(42, 433.0)	(43, 440.0)	(44, 381.0)	(45, 400.0)	(46, 411.0)	(47, 406.0)	(48, 432.0)	(49, 394.0)	(50, 434.0)	(51, 929.0)	(52, 1415.0)	(53, 2720.0)	(54, 2024.0)	(55, 899.0)	(56, 2323.0)	(57, 8785.0)	(58, 59799.0)	(59, 312374.0)	(60, 1020132.0)	(61, 0.0)	(62, 0.0)	(63, 38506060.0)
SRR1039514_pass_2P	(36, 344.0)	(37, 374.0)	(38, 324.0)	(39, 351.0)	(40, 360.0)	(41, 371.0)	(42, 377.0)	(43, 395.0)	(44, 310.0)	(45, 458.0)	(46, 390.0)	(47, 379.0)	(48, 428.0)	(49, 391.0)	(50, 434.0)	(51, 535.0)	(52, 700.0)	(53, 1184.0)	(54, 1146.0)	(55, 781.0)	(56, 2224.0)	(57, 4713.0)	(58, 17229.0)	(59, 97396.0)	(60, 629153.0)	(61, 0.0)	(62, 0.0)	(63, 39162826.0)
SRR1039515_pass_1P	(36, 257.0)	(37, 279.0)	(38, 258.0)	(39, 257.0)	(40, 259.0)	(41, 250.0)	(42, 257.0)	(43, 253.0)	(44, 278.0)	(45, 276.0)	(46, 269.0)	(47, 261.0)	(48, 250.0)	(49, 291.0)	(50, 284.0)	(51, 631.0)	(52, 870.0)	(53, 1702.0)	(54, 1240.0)	(55, 674.0)	(56, 1459.0)	(57, 5182.0)	(58, 35506.0)	(59, 187440.0)	(60, 614263.0)	(61, 0.0)	(62, 0.0)	(63, 23248257.0)
SRR1039515_pass_2P	(36, 233.0)	(37, 284.0)	(38, 235.0)	(39, 236.0)	(40, 238.0)	(41, 237.0)	(42, 239.0)	(43, 232.0)	(44, 224.0)	(45, 299.0)	(46, 259.0)	(47, 255.0)	(48, 228.0)	(49, 285.0)	(50, 290.0)	(51, 332.0)	(52, 454.0)	(53, 719.0)	(54, 716.0)	(55, 578.0)	(56, 1410.0)	(57, 2907.0)	(58, 10076.0)	(59, 58757.0)	(60, 382987.0)	(61, 0.0)	(62, 0.0)	(63, 23638493.0)
SRR1039516_pass_1P	(36, 129.0)	(37, 134.0)	(38, 129.0)	(39, 153.0)	(40, 247.0)	(41, 158.0)	(42, 140.0)	(43, 178.0)	(44, 162.0)	(45, 176.0)	(46, 120.0)	(47, 164.0)	(48, 157.0)	(49, 187.0)	(50, 199.0)	(51, 983.0)	(52, 792.0)	(53, 1760.0)	(54, 1282.0)	(55, 660.0)	(56, 1595.0)	(57, 6702.0)	(58, 41850.0)	(59, 219235.0)	(60, 695022.0)	(61, 0.0)	(62, 0.0)	(63, 26256895.0)
SRR1039516_pass_2P	(36, 114.0)	(37, 140.0)	(38, 118.0)	(39, 144.0)	(40, 236.0)	(41, 152.0)	(42, 144.0)	(43, 166.0)	(44, 119.0)	(45, 219.0)	(46, 108.0)	(47, 130.0)	(48, 153.0)	(49, 153.0)	(50, 173.0)	(51, 273.0)	(52, 349.0)	(53, 688.0)	(54, 677.0)	(55, 569.0)	(56, 1530.0)	(57, 3438.0)	(58, 11973.0)	(59, 70668.0)	(60, 438698.0)	(61, 0.0)	(62, 0.0)	(63, 26698077.0)
SRR1039517_pass_1P	(36, 151.0)	(37, 4.0)	(38, 164.0)	(39, 169.0)	(40, 194.0)	(41, 328.0)	(42, 182.0)	(43, 186.0)	(44, 198.0)	(45, 182.0)	(46, 185.0)	(47, 228.0)	(48, 207.0)	(49, 251.0)	(50, 305.0)	(51, 1040.0)	(52, 982.0)	(53, 2155.0)	(54, 1604.0)	(55, 693.0)	(56, 1969.0)	(57, 8247.0)	(58, 52241.0)	(59, 269981.0)	(60, 872840.0)	(61, 0.0)	(62, 0.0)	(63, 33072472.0)
SRR1039517_pass_2P	(36, 151.0)	(37, 185.0)	(38, 155.0)	(39, 169.0)	(40, 135.0)	(41, 149.0)	(42, 167.0)	(43, 178.0)	(44, 172.0)	(45, 207.0)	(46, 166.0)	(47, 193.0)	(48, 191.0)	(49, 230.0)	(50, 260.0)	(51, 360.0)	(52, 491.0)	(53, 915.0)	(54, 745.0)	(55, 684.0)	(56, 1650.0)	(57, 4273.0)	(58, 15413.0)	(59, 90302.0)	(60, 551735.0)	(61, 0.0)	(62, 0.0)	(63, 33617882.0)
SRR1039518_pass_1P	(36, 1.0)	(37, 188.0)	(38, 171.0)	(39, 192.0)	(40, 207.0)	(41, 238.0)	(42, 226.0)	(43, 191.0)	(44, 205.0)	(45, 197.0)	(46, 221.0)	(47, 232.0)	(48, 242.0)	(49, 222.0)	(50, 278.0)	(51, 866.0)	(52, 960.0)	(53, 1909.0)	(54, 1450.0)	(55, 653.0)	(56, 1795.0)	(57, 6997.0)	(58, 46078.0)	(59, 237948.0)	(60, 773322.0)	(61, 0.0)	(62, 0.0)	(63, 29350724.0)
