Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1039514_pass_1P	(1.0, 30.549347967444557)	(2.0, 11.631432124611782)	(3.0, 6.614100455691756)	(4.0, 4.669979304958733)	(5.0, 3.3253559578695775)	(6.0, 2.59513268916628)	(7.0, 2.189253329389501)	(8.0, 1.8480301958631797)	(9.0, 1.522361719479063)	('>10', 18.87206229164513)	('>50', 5.993779030947499)	('>100', 8.300755309544863)	('>500', 1.3204945799922923)	('>1k', 0.5679150433959093)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039514_pass_2P	(1.0, 31.989002179613934)	(2.0, 11.154891295802368)	(3.0, 6.628546354780079)	(4.0, 4.392135658435715)	(5.0, 3.343670011630658)	(6.0, 2.592257598357478)	(7.0, 2.0917739147769296)	(8.0, 1.7939157036592812)	(9.0, 1.5223719069842565)	('>10', 18.36224535762089)	('>50', 5.970159113495091)	('>100', 8.24425662035092)	('>500', 1.3159313380497786)	('>1k', 0.598842946442261)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039515_pass_1P	(1.0, 36.52747281803379)	(2.0, 12.043936772787536)	(3.0, 6.504519482386356)	(4.0, 4.288909965055311)	(5.0, 3.0920228092733093)	(6.0, 2.42930761629594)	(7.0, 1.933585978930217)	(8.0, 1.671747546024089)	(9.0, 1.4068185750448847)	('>10', 17.133575558444942)	('>50', 5.322795964015422)	('>100', 6.519442274306439)	('>500', 0.8410260792719426)	('>1k', 0.2848385601299229)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039515_pass_2P	(1.0, 37.36574712578077)	(2.0, 11.810798827266801)	(3.0, 6.430549139986081)	(4.0, 4.227932225900755)	(5.0, 3.130256865148463)	(6.0, 2.4113544797630757)	(7.0, 1.9220775577458844)	(8.0, 1.668777674607363)	(9.0, 1.3270583359970545)	('>10', 16.93934934770652)	('>50', 5.179189399116249)	('>100', 6.407855802245553)	('>500', 0.8876936987238684)	('>1k', 0.29135952001141063)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039516_pass_1P	(1.0, 33.014140656968124)	(2.0, 11.53464747202692)	(3.0, 6.5477696300988155)	(4.0, 4.492434581398497)	(5.0, 3.3061569637329202)	(6.0, 2.4659957117592897)	(7.0, 1.9721055294635346)	(8.0, 1.751341750559434)	(9.0, 1.4352887936052978)	('>10', 17.20414869419991)	('>50', 5.482764255718484)	('>100', 8.185576417462416)	('>500', 1.5432632143545482)	('>1k', 1.0085471301068787)	('>5k', 0.05581919854501968)	('>10k+', 0.0)
SRR1039516_pass_2P	(1.0, 34.0302607846871)	(2.0, 11.583841084439339)	(3.0, 6.416623975214658)	(4.0, 4.271629178540763)	(5.0, 3.2919346942857044)	(6.0, 2.42418535231415)	(7.0, 1.9743322978127393)	(8.0, 1.6332442320138574)	(9.0, 1.3557372158988379)	('>10', 17.072048308860737)	('>50', 5.402602008070321)	('>100', 7.936619849249331)	('>500', 1.5144049656763354)	('>1k', 1.0325211611326082)	('>5k', 0.060014891803618194)	('>10k+', 0.0)
SRR1039517_pass_1P	(1.0, 30.7896446336073)	(2.0, 11.484535878304237)	(3.0, 6.783950676658085)	(4.0, 4.610429693831917)	(5.0, 3.453767512872773)	(6.0, 2.7291709947454414)	(7.0, 2.1314007850271905)	(8.0, 1.8414275880598912)	(9.0, 1.5476612048445715)	('>10', 19.05527912543792)	('>50', 5.831853083296803)	('>100', 7.970312053846378)	('>500', 1.2327979710897483)	('>1k', 0.5178171073461981)	('>5k', 0.01995169103139544)	('>10k+', 0.0)
SRR1039517_pass_2P	(1.0, 31.85752303712035)	(2.0, 11.104366138422996)	(3.0, 6.665941746381865)	(4.0, 4.625350711305507)	(5.0, 3.3403117377252864)	(6.0, 2.660369441503396)	(7.0, 2.138298259525227)	(8.0, 1.754561855692039)	(9.0, 1.5262315193851197)	('>10', 19.121467965778805)	('>50', 5.632341439606877)	('>100', 7.763660701036769)	('>500', 1.2661072033414436)	('>1k', 0.543468243174334)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039518_pass_1P	(1.0, 32.84251654675531)	(2.0, 11.684441752411026)	(3.0, 6.676062183953714)	(4.0, 4.478218212509753)	(5.0, 3.3707088956747224)	(6.0, 2.559579303824813)	(7.0, 2.123489370189414)	(8.0, 1.7592686931824055)	(9.0, 1.5088851146734004)	('>10', 18.436885945065722)	('>50', 5.639092459339166)	('>100', 7.34867267597672)	('>500', 1.1388461906726979)	('>1k', 0.41339729478890674)	('>5k', 0.019935360982192275)	('>10k+', 0.0)
SRR1039518_pass_2P	(1.0, 33.87675188535212)	(2.0, 11.386942501942872)	(3.0, 6.586708867076791)	(4.0, 4.419817582420704)	(5.0, 3.1626005173441016)	(6.0, 2.5985192902579497)	(7.0, 2.089339235452415)	(8.0, 1.7608501718592517)	(9.0, 1.5288923056627024)	('>10', 18.058896972458506)	('>50', 5.569131392259989)	('>100', 7.328294068032956)	('>500', 1.2026410893616655)	('>1k', 0.4306141205179678)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039519_pass_1P	(1.0, 37.57645687842312)	(2.0, 12.706033145688986)	(3.0, 6.712545237052699)	(4.0, 4.3864566934000395)	(5.0, 3.1725375682594867)	(6.0, 2.3850584892073035)	(7.0, 1.9178006232205007)	(8.0, 1.6111690534130034)	(9.0, 1.3234749561610364)	('>10', 16.37536729560193)	('>50', 4.8447018475711)	('>100', 5.929807113930285)	('>500', 0.7973021112737936)	('>1k', 0.2333025846685626)	('>5k', 0.027986402128051473)	('>10k+', 0.0)
SRR1039519_pass_2P	(1.0, 38.734581911865675)	(2.0, 12.398254656531883)	(3.0, 6.6247262457806695)	(4.0, 4.167464422677926)	(5.0, 3.025111179007055)	(6.0, 2.4325854586385836)	(7.0, 1.8333582674556366)	(8.0, 1.5805748247772942)	(9.0, 1.3878538670243743)	('>10', 16.09153482977953)	('>50', 4.879459777712092)	('>100', 5.825368232833812)	('>500', 0.7564655156651243)	('>1k', 0.2382867991705616)	('>5k', 0.024374011079847557)	('>10k+', 0.0)
SRR1039520_pass_1P	(1.0, 38.0021517976278)	(2.0, 12.4405848892183)	(3.0, 6.64357309539166)	(4.0, 4.326566439211529)	(5.0, 3.0254188078899498)	(6.0, 2.3238063145051147)	(7.0, 1.8253888092157788)	(8.0, 1.5704152181623416)	(9.0, 1.3500813913853504)	('>10', 16.630470936605526)	('>50', 4.836011846135479)	('>100', 5.892418048602427)	('>500', 0.8688978152001546)	('>1k', 0.2642145908485667)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039520_pass_2P	(1.0, 38.830038780959484)	(2.0, 12.174121185841734)	(3.0, 6.5969245496207325)	(4.0, 4.205113693669834)	(5.0, 2.969994928120097)	(6.0, 2.360266731904619)	(7.0, 1.903118164491156)	(8.0, 1.4960179769679764)	(9.0, 1.3782896691599948)	('>10', 16.411028235693166)	('>50', 4.839705156029741)	('>100', 5.645692598281286)	('>500', 0.9059312975563194)	('>1k', 0.28375703170398)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039521_pass_1P	(1.0, 34.79887483675175)	(2.0, 13.006105348126592)	(3.0, 7.041485492535313)	(4.0, 4.6781073549778185)	(5.0, 3.3943742228534237)	(6.0, 2.5843814874108784)	(7.0, 2.096956438081068)	(8.0, 1.7834554372720235)	(9.0, 1.5514343230101864)	('>10', 17.83729581457947)	('>50', 4.963169813133097)	('>100', 5.346441291656809)	('>500', 0.7100767234295301)	('>1k', 0.20784141618206933)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039521_pass_2P	(1.0, 36.03176492562274)	(2.0, 12.816320875583424)	(3.0, 6.80075112080665)	(4.0, 4.48991118614916)	(5.0, 3.3106331731092156)	(6.0, 2.560208492160151)	(7.0, 2.09487039260392)	(8.0, 1.7413301778602872)	(9.0, 1.51594991106457)	('>10', 17.53782615864127)	('>50', 4.892752923741325)	('>100', 5.288265053874569)	('>500', 0.6939582952199044)	('>1k', 0.22545731356306886)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039522_pass_1P	(1.0, 33.09341560772918)	(2.0, 12.995965620827258)	(3.0, 6.951948209472006)	(4.0, 4.670800377472443)	(5.0, 3.321798453482939)	(6.0, 2.5732613857841034)	(7.0, 2.0061288161757886)	(8.0, 1.6909998089843212)	(9.0, 1.4434198505060276)	('>10', 17.62767327776588)	('>50', 5.291286290091323)	('>100', 6.786608527506453)	('>500', 1.0674308444367056)	('>1k', 0.45888722394921455)	('>5k', 0.020375705816251498)	('>10k+', 0.0)
SRR1039522_pass_2P	(1.0, 34.07839001898111)	(2.0, 12.840811041003139)	(3.0, 6.888488207293294)	(4.0, 4.467619341710241)	(5.0, 3.160748047747694)	(6.0, 2.490968718773341)	(7.0, 1.9961072017083248)	(8.0, 1.666524193147558)	(9.0, 1.4141036378339722)	('>10', 17.30364942226947)	('>50', 5.379826160614792)	('>100', 6.716692747426782)	('>500', 1.0782689987484093)	('>1k', 0.4971459209553145)	('>5k', 0.020656341786639134)	('>10k+', 0.0)
SRR1039523_pass_1P	(1.0, 31.721398907776006)	(2.0, 12.241846402402713)	(3.0, 6.798100322873037)	(4.0, 4.447170142972679)	(5.0, 3.4206378795741164)	(6.0, 2.618340240172834)	(7.0, 2.1800235036851863)	(8.0, 1.8269857667018077)	(9.0, 1.5702870717356636)	('>10', 18.69011726323715)	('>50', 5.5428222606460675)	('>100', 7.009251481916258)	('>500', 1.2336379530223316)	('>1k', 0.6993808032843274)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039523_pass_2P	(1.0, 32.31036167715849)	(2.0, 12.028632940642343)	(3.0, 6.766097030275946)	(4.0, 4.50400711192124)	(5.0, 3.3014940798140278)	(6.0, 2.6721711474089425)	(7.0, 2.1552040379140025)	(8.0, 1.8138142356449938)	(9.0, 1.4905717316158238)	('>10', 18.379325696649907)	('>50', 5.631172930129226)	('>100', 6.923381810262838)	('>500', 1.3100381760415525)	('>1k', 0.6970770085436417)	('>5k', 0.016650385977079827)	('>10k+', 0.0)
