Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR1039519_pass_1P	(2.0, 2445.0)	(3.0, 1228.0)	(4.0, 2033.0)	(5.0, 3165.0)	(6.0, 5647.0)	(7.0, 9868.0)	(8.0, 13250.0)	(9.0, 16745.0)	(10.0, 17137.0)	(11.0, 18782.0)	(12.0, 20402.0)	(13.0, 22103.0)	(14.0, 24770.0)	(15.0, 26848.0)	(16.0, 29741.0)	(17.0, 33286.0)	(18.0, 37123.0)	(19.0, 42034.0)	(20.0, 48259.0)	(21.0, 55008.0)	(22.0, 63429.0)	(23.0, 72419.0)	(24.0, 85921.0)	(25.0, 100335.0)	(26.0, 120520.0)	(27.0, 147242.0)	(28.0, 180144.0)	(29.0, 223993.0)	(30.0, 281086.0)	(31.0, 355149.0)	(32.0, 448807.0)	(33.0, 579963.0)	(34.0, 782092.0)	(35.0, 1079106.0)	(36.0, 1580139.0)	(37.0, 2422204.0)	(38.0, 3584518.0)	(39.0, 4935065.0)	(40.0, 4624479.0)
SRR1039519_pass_2P	(2.0, 69539.0)	(3.0, 14945.0)	(4.0, 16302.0)	(5.0, 18527.0)	(6.0, 19940.0)	(7.0, 21205.0)	(8.0, 22969.0)	(9.0, 24869.0)	(10.0, 26096.0)	(11.0, 28255.0)	(12.0, 31184.0)	(13.0, 32950.0)	(14.0, 35388.0)	(15.0, 36756.0)	(16.0, 39159.0)	(17.0, 41535.0)	(18.0, 43900.0)	(19.0, 47686.0)	(20.0, 53310.0)	(21.0, 59359.0)	(22.0, 67342.0)	(23.0, 76574.0)	(24.0, 89658.0)	(25.0, 105077.0)	(26.0, 126103.0)	(27.0, 150383.0)	(28.0, 180389.0)	(29.0, 218322.0)	(30.0, 266605.0)	(31.0, 330573.0)	(32.0, 416866.0)	(33.0, 540757.0)	(34.0, 732251.0)	(35.0, 1018726.0)	(36.0, 1508548.0)	(37.0, 2341008.0)	(38.0, 3530144.0)	(39.0, 4834844.0)	(40.0, 4878441.0)
SRR1039520_pass_1P	(2.0, 2777.0)	(3.0, 1252.0)	(4.0, 2199.0)	(5.0, 3290.0)	(6.0, 6070.0)	(7.0, 10296.0)	(8.0, 13581.0)	(9.0, 16384.0)	(10.0, 17108.0)	(11.0, 19079.0)	(12.0, 20847.0)	(13.0, 22990.0)	(14.0, 25583.0)	(15.0, 27750.0)	(16.0, 30005.0)	(17.0, 33471.0)	(18.0, 37043.0)	(19.0, 41546.0)	(20.0, 47278.0)	(21.0, 54048.0)	(22.0, 62726.0)	(23.0, 72178.0)	(24.0, 84520.0)	(25.0, 100349.0)	(26.0, 121106.0)	(27.0, 148516.0)	(28.0, 185721.0)	(29.0, 229455.0)	(30.0, 287986.0)	(31.0, 364005.0)	(32.0, 461346.0)	(33.0, 593264.0)	(34.0, 795758.0)	(35.0, 1083770.0)	(36.0, 1561167.0)	(37.0, 2343416.0)	(38.0, 3416953.0)	(39.0, 4622437.0)	(40.0, 4299764.0)
SRR1039520_pass_2P	(2.0, 61441.0)	(3.0, 14959.0)	(4.0, 16634.0)	(5.0, 19017.0)	(6.0, 20578.0)	(7.0, 21996.0)	(8.0, 24522.0)	(9.0, 27218.0)	(10.0, 28184.0)	(11.0, 30806.0)	(12.0, 33383.0)	(13.0, 35589.0)	(14.0, 37428.0)	(15.0, 39261.0)	(16.0, 41689.0)	(17.0, 43563.0)	(18.0, 46495.0)	(19.0, 50095.0)	(20.0, 54940.0)	(21.0, 61121.0)	(22.0, 69151.0)	(23.0, 79406.0)	(24.0, 92730.0)	(25.0, 108565.0)	(26.0, 129848.0)	(27.0, 154814.0)	(28.0, 186395.0)	(29.0, 225963.0)	(30.0, 275891.0)	(31.0, 341416.0)	(32.0, 432139.0)	(33.0, 555546.0)	(34.0, 747390.0)	(35.0, 1023540.0)	(36.0, 1484333.0)	(37.0, 2244500.0)	(38.0, 3316954.0)	(39.0, 4511664.0)	(40.0, 4577870.0)
SRR1039521_pass_1P	(2.0, 3372.0)	(3.0, 1562.0)	(4.0, 2746.0)	(5.0, 4238.0)	(6.0, 7512.0)	(7.0, 12931.0)	(8.0, 16695.0)	(9.0, 19994.0)	(10.0, 20511.0)	(11.0, 22697.0)	(12.0, 24461.0)	(13.0, 27076.0)	(14.0, 29768.0)	(15.0, 32439.0)	(16.0, 35550.0)	(17.0, 39320.0)	(18.0, 43639.0)	(19.0, 49314.0)	(20.0, 56501.0)	(21.0, 65189.0)	(22.0, 76537.0)	(23.0, 88618.0)	(24.0, 103846.0)	(25.0, 122875.0)	(26.0, 147833.0)	(27.0, 179305.0)	(28.0, 219198.0)	(29.0, 272112.0)	(30.0, 336209.0)	(31.0, 416741.0)	(32.0, 521701.0)	(33.0, 661038.0)	(34.0, 875184.0)	(35.0, 1186544.0)	(36.0, 1702269.0)	(37.0, 2543767.0)	(38.0, 3702426.0)	(39.0, 5042258.0)	(40.0, 4760583.0)
SRR1039521_pass_2P	(2.0, 89285.0)	(3.0, 18207.0)	(4.0, 20484.0)	(5.0, 22888.0)	(6.0, 25368.0)	(7.0, 27195.0)	(8.0, 29792.0)	(9.0, 32428.0)	(10.0, 33850.0)	(11.0, 37143.0)	(12.0, 39685.0)	(13.0, 42413.0)	(14.0, 44437.0)	(15.0, 46780.0)	(16.0, 49122.0)	(17.0, 51660.0)	(18.0, 54761.0)	(19.0, 58919.0)	(20.0, 64387.0)	(21.0, 72304.0)	(22.0, 81803.0)	(23.0, 93943.0)	(24.0, 108758.0)	(25.0, 128223.0)	(26.0, 152512.0)	(27.0, 180919.0)	(28.0, 216661.0)	(29.0, 259583.0)	(30.0, 316698.0)	(31.0, 387450.0)	(32.0, 485912.0)	(33.0, 619021.0)	(34.0, 826026.0)	(35.0, 1123965.0)	(36.0, 1622218.0)	(37.0, 2439084.0)	(38.0, 3603594.0)	(39.0, 4914624.0)	(40.0, 5052457.0)
SRR1039522_pass_1P	(2.0, 4758.0)	(3.0, 2084.0)	(4.0, 3452.0)	(5.0, 5276.0)	(6.0, 8622.0)	(7.0, 13163.0)	(8.0, 16820.0)	(9.0, 20181.0)	(10.0, 20657.0)	(11.0, 23074.0)	(12.0, 24574.0)	(13.0, 26781.0)	(14.0, 29211.0)	(15.0, 30783.0)	(16.0, 33422.0)	(17.0, 36070.0)	(18.0, 39462.0)	(19.0, 44496.0)	(20.0, 49784.0)	(21.0, 57000.0)	(22.0, 64524.0)	(23.0, 73286.0)	(24.0, 84825.0)	(25.0, 98715.0)	(26.0, 116961.0)	(27.0, 140291.0)	(28.0, 170649.0)	(29.0, 211221.0)	(30.0, 263906.0)	(31.0, 330981.0)	(32.0, 424302.0)	(33.0, 555989.0)	(34.0, 775869.0)	(35.0, 1114611.0)	(36.0, 1736963.0)	(37.0, 2869866.0)	(38.0, 4578530.0)	(39.0, 6723373.0)	(40.0, 7292781.0)
SRR1039522_pass_2P	(2.0, 71737.0)	(3.0, 17006.0)	(4.0, 17851.0)	(5.0, 19857.0)	(6.0, 22353.0)	(7.0, 23440.0)	(8.0, 25801.0)	(9.0, 27766.0)	(10.0, 28960.0)	(11.0, 30668.0)	(12.0, 33270.0)	(13.0, 34934.0)	(14.0, 37097.0)	(15.0, 38734.0)	(16.0, 40258.0)	(17.0, 42647.0)	(18.0, 44885.0)	(19.0, 48297.0)	(20.0, 53107.0)	(21.0, 59053.0)	(22.0, 66192.0)	(23.0, 74871.0)	(24.0, 85812.0)	(25.0, 100722.0)	(26.0, 118298.0)	(27.0, 139747.0)	(28.0, 165898.0)	(29.0, 200661.0)	(30.0, 244644.0)	(31.0, 302418.0)	(32.0, 384775.0)	(33.0, 504742.0)	(34.0, 709246.0)	(35.0, 1026500.0)	(36.0, 1616992.0)	(37.0, 2725335.0)	(38.0, 4454197.0)	(39.0, 6584525.0)	(40.0, 7894017.0)
SRR1039523_pass_1P	(2.0, 2788.0)	(3.0, 1361.0)	(4.0, 2548.0)	(5.0, 3781.0)	(6.0, 6927.0)	(7.0, 11351.0)	(8.0, 14779.0)	(9.0, 18581.0)	(10.0, 19256.0)	(11.0, 21369.0)	(12.0, 23787.0)	(13.0, 25880.0)	(14.0, 27965.0)	(15.0, 29929.0)	(16.0, 32705.0)	(17.0, 35801.0)	(18.0, 40179.0)	(19.0, 45403.0)	(20.0, 51860.0)	(21.0, 59045.0)	(22.0, 68828.0)	(23.0, 79134.0)	(24.0, 92579.0)	(25.0, 108033.0)	(26.0, 128588.0)	(27.0, 155336.0)	(28.0, 189561.0)	(29.0, 234590.0)	(30.0, 293436.0)	(31.0, 370674.0)	(32.0, 474330.0)	(33.0, 622038.0)	(34.0, 865212.0)	(35.0, 1235573.0)	(36.0, 1917345.0)	(37.0, 3151363.0)	(38.0, 5029735.0)	(39.0, 7473920.0)	(40.0, 8124620.0)
SRR1039523_pass_2P	(2.0, 72823.0)	(3.0, 17284.0)	(4.0, 18639.0)	(5.0, 20530.0)	(6.0, 22877.0)	(7.0, 24027.0)	(8.0, 26902.0)	(9.0, 28564.0)	(10.0, 30214.0)	(11.0, 32338.0)	(12.0, 34502.0)	(13.0, 36433.0)	(14.0, 38999.0)	(15.0, 40244.0)	(16.0, 42607.0)	(17.0, 45022.0)	(18.0, 47587.0)	(19.0, 50985.0)	(20.0, 56521.0)	(21.0, 62966.0)	(22.0, 70987.0)	(23.0, 80613.0)	(24.0, 92826.0)	(25.0, 108103.0)	(26.0, 127548.0)	(27.0, 151666.0)	(28.0, 181794.0)	(29.0, 218961.0)	(30.0, 268840.0)	(31.0, 334788.0)	(32.0, 425239.0)	(33.0, 559000.0)	(34.0, 784400.0)	(35.0, 1131613.0)	(36.0, 1779658.0)	(37.0, 2988785.0)	(38.0, 4894894.0)	(39.0, 7333123.0)	(40.0, 8807288.0)
