Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR1039513_pass_1P	(2.0, 1915.0)	(3.0, 936.0)	(4.0, 1601.0)	(5.0, 2457.0)	(6.0, 4533.0)	(7.0, 7997.0)	(8.0, 10467.0)	(9.0, 12636.0)	(10.0, 13164.0)	(11.0, 14731.0)	(12.0, 16040.0)	(13.0, 17689.0)	(14.0, 19480.0)	(15.0, 20869.0)	(16.0, 23429.0)	(17.0, 26133.0)	(18.0, 28978.0)	(19.0, 33391.0)	(20.0, 37671.0)	(21.0, 43531.0)	(22.0, 49977.0)	(23.0, 58534.0)	(24.0, 68768.0)	(25.0, 81141.0)	(26.0, 98228.0)	(27.0, 119737.0)	(28.0, 147514.0)	(29.0, 182659.0)	(30.0, 227036.0)	(31.0, 283816.0)	(32.0, 356010.0)	(33.0, 455057.0)	(34.0, 601925.0)	(35.0, 816817.0)	(36.0, 1173199.0)	(37.0, 1773681.0)	(38.0, 2638730.0)	(39.0, 3709171.0)	(40.0, 3629906.0)
SRR1039513_pass_2P	(2.0, 67581.0)	(3.0, 12490.0)	(4.0, 13657.0)	(5.0, 15429.0)	(6.0, 17095.0)	(7.0, 18433.0)	(8.0, 19852.0)	(9.0, 21840.0)	(10.0, 22809.0)	(11.0, 24899.0)	(12.0, 27189.0)	(13.0, 28605.0)	(14.0, 30397.0)	(15.0, 31201.0)	(16.0, 33299.0)	(17.0, 35352.0)	(18.0, 37466.0)	(19.0, 40551.0)	(20.0, 44638.0)	(21.0, 49791.0)	(22.0, 56860.0)	(23.0, 65564.0)	(24.0, 75475.0)	(25.0, 88606.0)	(26.0, 104890.0)	(27.0, 124859.0)	(28.0, 148191.0)	(29.0, 178633.0)	(30.0, 217302.0)	(31.0, 267642.0)	(32.0, 335637.0)	(33.0, 427618.0)	(34.0, 570370.0)	(35.0, 775697.0)	(36.0, 1117680.0)	(37.0, 1698100.0)	(38.0, 2562972.0)	(39.0, 3600063.0)	(40.0, 3800821.0)
SRR1039514_pass_1P	(2.0, 3944.0)	(3.0, 2132.0)	(4.0, 3722.0)	(5.0, 6023.0)	(6.0, 11217.0)	(7.0, 19079.0)	(8.0, 25253.0)	(9.0, 30372.0)	(10.0, 31578.0)	(11.0, 35404.0)	(12.0, 39177.0)	(13.0, 42739.0)	(14.0, 47719.0)	(15.0, 51767.0)	(16.0, 57270.0)	(17.0, 63955.0)	(18.0, 71793.0)	(19.0, 81577.0)	(20.0, 92917.0)	(21.0, 106498.0)	(22.0, 123922.0)	(23.0, 143831.0)	(24.0, 168250.0)	(25.0, 200327.0)	(26.0, 240991.0)	(27.0, 293963.0)	(28.0, 361328.0)	(29.0, 448089.0)	(30.0, 557853.0)	(31.0, 699602.0)	(32.0, 876750.0)	(33.0, 1123091.0)	(34.0, 1487807.0)	(35.0, 2019554.0)	(36.0, 2890240.0)	(37.0, 4306053.0)	(38.0, 6292945.0)	(39.0, 8651292.0)	(40.0, 8213549.0)
SRR1039514_pass_2P	(2.0, 219260.0)	(3.0, 33218.0)	(4.0, 35618.0)	(5.0, 38449.0)	(6.0, 41901.0)	(7.0, 44310.0)	(8.0, 48277.0)	(9.0, 52235.0)	(10.0, 54475.0)	(11.0, 59731.0)	(12.0, 64753.0)	(13.0, 68103.0)	(14.0, 72144.0)	(15.0, 74420.0)	(16.0, 78077.0)	(17.0, 82103.0)	(18.0, 87178.0)	(19.0, 94429.0)	(20.0, 105455.0)	(21.0, 117580.0)	(22.0, 135080.0)	(23.0, 154486.0)	(24.0, 179681.0)	(25.0, 211690.0)	(26.0, 250260.0)	(27.0, 298052.0)	(28.0, 355504.0)	(29.0, 427741.0)	(30.0, 521306.0)	(31.0, 640633.0)	(32.0, 803375.0)	(33.0, 1027717.0)	(34.0, 1373244.0)	(35.0, 1869156.0)	(36.0, 2695147.0)	(37.0, 4066453.0)	(38.0, 6081952.0)	(39.0, 8475142.0)	(40.0, 8885238.0)
SRR1039515_pass_1P	(2.0, 1798.0)	(3.0, 1039.0)	(4.0, 1810.0)	(5.0, 2773.0)	(6.0, 4822.0)	(7.0, 8397.0)	(8.0, 10904.0)	(9.0, 13782.0)	(10.0, 14083.0)	(11.0, 15964.0)	(12.0, 17396.0)	(13.0, 18954.0)	(14.0, 21120.0)	(15.0, 22170.0)	(16.0, 24666.0)	(17.0, 27042.0)	(18.0, 30067.0)	(19.0, 34197.0)	(20.0, 39226.0)	(21.0, 45155.0)	(22.0, 52583.0)	(23.0, 60410.0)	(24.0, 70175.0)	(25.0, 82577.0)	(26.0, 97652.0)	(27.0, 117918.0)	(28.0, 144113.0)	(29.0, 177861.0)	(30.0, 221845.0)	(31.0, 280767.0)	(32.0, 358634.0)	(33.0, 471471.0)	(34.0, 654595.0)	(35.0, 936003.0)	(36.0, 1448335.0)	(37.0, 2399551.0)	(38.0, 3886779.0)	(39.0, 5845579.0)	(40.0, 6438990.0)
SRR1039515_pass_2P	(2.0, 76210.0)	(3.0, 14557.0)	(4.0, 15132.0)	(5.0, 16673.0)	(6.0, 18297.0)	(7.0, 19209.0)	(8.0, 21401.0)	(9.0, 22981.0)	(10.0, 23394.0)	(11.0, 25534.0)	(12.0, 27323.0)	(13.0, 28298.0)	(14.0, 30499.0)	(15.0, 31454.0)	(16.0, 33026.0)	(17.0, 34855.0)	(18.0, 36820.0)	(19.0, 39986.0)	(20.0, 43732.0)	(21.0, 48696.0)	(22.0, 55592.0)	(23.0, 63304.0)	(24.0, 72949.0)	(25.0, 84829.0)	(26.0, 100070.0)	(27.0, 118703.0)	(28.0, 142080.0)	(29.0, 170003.0)	(30.0, 208592.0)	(31.0, 258356.0)	(32.0, 328715.0)	(33.0, 430374.0)	(34.0, 602230.0)	(35.0, 866981.0)	(36.0, 1354843.0)	(37.0, 2284875.0)	(38.0, 3778159.0)	(39.0, 5694683.0)	(40.0, 6877788.0)
SRR1039516_pass_1P	(2.0, 2282.0)	(3.0, 1308.0)	(4.0, 2401.0)	(5.0, 3699.0)	(6.0, 6824.0)	(7.0, 11978.0)	(8.0, 16048.0)	(9.0, 20416.0)	(10.0, 20813.0)	(11.0, 23217.0)	(12.0, 25351.0)	(13.0, 27962.0)	(14.0, 30927.0)	(15.0, 33455.0)	(16.0, 37341.0)	(17.0, 41750.0)	(18.0, 46737.0)	(19.0, 53272.0)	(20.0, 60498.0)	(21.0, 69707.0)	(22.0, 80221.0)	(23.0, 92738.0)	(24.0, 108855.0)	(25.0, 127668.0)	(26.0, 153284.0)	(27.0, 186819.0)	(28.0, 229487.0)	(29.0, 285359.0)	(30.0, 354517.0)	(31.0, 445574.0)	(32.0, 565184.0)	(33.0, 732416.0)	(34.0, 987834.0)	(35.0, 1356357.0)	(36.0, 1972776.0)	(37.0, 2969608.0)	(38.0, 4394047.0)	(39.0, 6040687.0)	(40.0, 5609792.0)
SRR1039516_pass_2P	(2.0, 109408.0)	(3.0, 20009.0)	(4.0, 21752.0)	(5.0, 23821.0)	(6.0, 26027.0)	(7.0, 27297.0)	(8.0, 29598.0)	(9.0, 32265.0)	(10.0, 34416.0)	(11.0, 37470.0)	(12.0, 40373.0)	(13.0, 43226.0)	(14.0, 46114.0)	(15.0, 47497.0)	(16.0, 50348.0)	(17.0, 53284.0)	(18.0, 56500.0)	(19.0, 62073.0)	(20.0, 69250.0)	(21.0, 77440.0)	(22.0, 88346.0)	(23.0, 100356.0)	(24.0, 116594.0)	(25.0, 137501.0)	(26.0, 162561.0)	(27.0, 193328.0)	(28.0, 231013.0)	(29.0, 276195.0)	(30.0, 336508.0)	(31.0, 415575.0)	(32.0, 519458.0)	(33.0, 671413.0)	(34.0, 905023.0)	(35.0, 1249493.0)	(36.0, 1841690.0)	(37.0, 2866617.0)	(38.0, 4336689.0)	(39.0, 5970811.0)	(40.0, 5901870.0)
SRR1039517_pass_1P	(2.0, 2975.0)	(3.0, 1791.0)	(4.0, 3146.0)	(5.0, 5036.0)	(6.0, 9291.0)	(7.0, 16174.0)	(8.0, 22368.0)	(9.0, 27476.0)	(10.0, 28669.0)	(11.0, 31556.0)	(12.0, 34589.0)	(13.0, 37590.0)	(14.0, 41503.0)	(15.0, 45041.0)	(16.0, 49670.0)	(17.0, 55766.0)	(18.0, 62360.0)	(19.0, 70714.0)	(20.0, 80806.0)	(21.0, 93404.0)	(22.0, 108182.0)	(23.0, 126157.0)	(24.0, 146547.0)	(25.0, 173956.0)	(26.0, 209375.0)	(27.0, 253789.0)	(28.0, 312185.0)	(29.0, 386023.0)	(30.0, 482351.0)	(31.0, 606561.0)	(32.0, 764833.0)	(33.0, 987086.0)	(34.0, 1323459.0)	(35.0, 1807136.0)	(36.0, 2604396.0)	(37.0, 3836693.0)	(38.0, 5527023.0)	(39.0, 7342743.0)	(40.0, 6568738.0)
SRR1039517_pass_2P	(2.0, 97640.0)	(3.0, 23394.0)	(4.0, 26153.0)	(5.0, 28823.0)	(6.0, 32086.0)	(7.0, 34485.0)	(8.0, 37635.0)	(9.0, 41436.0)	(10.0, 43335.0)	(11.0, 47015.0)	(12.0, 51505.0)	(13.0, 55117.0)	(14.0, 58527.0)	(15.0, 61101.0)	(16.0, 64777.0)	(17.0, 68613.0)	(18.0, 72559.0)	(19.0, 78554.0)	(20.0, 87163.0)	(21.0, 98077.0)	(22.0, 111897.0)	(23.0, 127647.0)	(24.0, 149233.0)	(25.0, 174620.0)	(26.0, 207363.0)	(27.0, 248192.0)	(28.0, 298484.0)	(29.0, 359297.0)	(30.0, 438547.0)	(31.0, 541854.0)	(32.0, 680093.0)	(33.0, 876235.0)	(34.0, 1182485.0)	(35.0, 1635516.0)	(36.0, 2399032.0)	(37.0, 3678330.0)	(38.0, 5471708.0)	(39.0, 7386448.0)	(40.0, 7212182.0)
SRR1039518_pass_1P	(2.0, 2809.0)	(3.0, 1670.0)	(4.0, 2827.0)	(5.0, 4369.0)	(6.0, 8392.0)	(7.0, 14548.0)	(8.0, 19590.0)	(9.0, 24794.0)	(10.0, 25430.0)	(11.0, 28403.0)	(12.0, 30758.0)	(13.0, 33560.0)	(14.0, 36962.0)	(15.0, 40057.0)	(16.0, 44488.0)	(17.0, 49614.0)	(18.0, 55223.0)	(19.0, 62681.0)	(20.0, 71498.0)	(21.0, 81683.0)	(22.0, 95400.0)	(23.0, 110529.0)	(24.0, 129887.0)	(25.0, 153105.0)	(26.0, 183002.0)	(27.0, 223600.0)	(28.0, 273732.0)	(29.0, 340220.0)	(30.0, 423392.0)	(31.0, 532136.0)	(32.0, 673569.0)	(33.0, 867665.0)	(34.0, 1165864.0)	(35.0, 1594255.0)	(36.0, 2301694.0)	(37.0, 3411270.0)	(38.0, 4926076.0)	(39.0, 6530858.0)	(40.0, 5850103.0)
SRR1039518_pass_2P	(2.0, 100986.0)	(3.0, 21814.0)	(4.0, 23957.0)	(5.0, 26139.0)	(6.0, 29153.0)	(7.0, 31535.0)	(8.0, 33987.0)	(9.0, 37050.0)	(10.0, 38846.0)	(11.0, 42365.0)	(12.0, 46117.0)	(13.0, 49170.0)	(14.0, 52562.0)	(15.0, 54479.0)	(16.0, 57457.0)	(17.0, 60542.0)	(18.0, 64127.0)	(19.0, 69757.0)	(20.0, 77529.0)	(21.0, 87072.0)	(22.0, 98206.0)	(23.0, 112449.0)	(24.0, 131931.0)	(25.0, 155089.0)	(26.0, 183598.0)	(27.0, 219379.0)	(28.0, 263115.0)	(29.0, 317278.0)	(30.0, 387687.0)	(31.0, 479430.0)	(32.0, 600894.0)	(33.0, 776108.0)	(34.0, 1049673.0)	(35.0, 1448775.0)	(36.0, 2129720.0)	(37.0, 3264447.0)	(38.0, 4859632.0)	(39.0, 6560229.0)	(40.0, 6383429.0)
