#Transcript position	Transcript coverage profile
0.0	16980.167255173703
1.0	19953.253679189893
2.0	21189.46102787573
3.0	23688.337390199227
4.0	26681.477820812685
5.0	30211.652976895028
6.0	32834.67651124096
7.0	34546.25525903166
8.0	36541.87618434912
9.0	38403.6736997345
10.0	39516.17799404931
11.0	40032.9033581368
12.0	40673.467542872306
13.0	41131.69281633691
14.0	41129.973631457426
15.0	41131.00026734785
16.0	41125.83881671428
17.0	41501.48646559815
18.0	41719.50775947205
19.0	41757.55521292693
20.0	41813.019019378095
21.0	41753.81801531797
22.0	42044.86639845939
23.0	42535.8032244005
24.0	41940.52772126973
25.0	41315.37620156697
26.0	41168.65238731338
27.0	41113.99152732582
28.0	41149.95151492499
29.0	40982.265734321976
30.0	41137.63585904073
31.0	41316.37658013743
32.0	41684.55616014714
33.0	41904.60552547107
34.0	41880.849544472316
35.0	41836.09868829768
36.0	41756.996925169646
37.0	41625.028495643615
38.0	41717.25432019671
39.0	41296.40266478641
40.0	41003.371344775805
41.0	40897.63309376476
42.0	40526.71783578929
43.0	40451.60448278706
44.0	40433.76834754729
45.0	40328.09267844377
46.0	40127.823403943956
47.0	40203.12106782777
48.0	39884.10329924132
49.0	39647.81140941398
50.0	39201.16735439638
51.0	39017.53067305994
52.0	38808.742436448185
53.0	38897.03955076065
54.0	39067.24364699898
55.0	39135.92922413893
56.0	38938.12899862884
57.0	39007.456613207825
58.0	38820.68407123638
59.0	38452.60422631648
60.0	38355.76401863218
61.0	38098.02446265694
62.0	37953.61072248991
63.0	37854.307247889396
64.0	37866.35879553708
65.0	37440.70339439737
66.0	37106.38827398023
67.0	37063.59102528003
68.0	36964.31189013131
69.0	36833.14086790761
70.0	36831.5234162845
71.0	36910.851815725226
72.0	36967.626721137734
73.0	36887.21697877197
74.0	36633.00146616269
75.0	36401.02503173359
76.0	36353.648610750635
77.0	36540.76013062108
78.0	36637.70691231053
79.0	36683.35588927821
80.0	36145.7214535638
81.0	35977.87579824218
82.0	35595.37850973949
83.0	35020.465092946164
84.0	34253.11966982154
85.0	33819.955399527025
86.0	33576.66275770595
87.0	33262.932462675286
88.0	32851.95024813442
89.0	32024.10342615035
90.0	31024.33774099225
91.0	30079.128363448486
92.0	29062.083253811634
93.0	27837.19120442085
94.0	25923.986202978343
95.0	22816.12695923727
96.0	18731.24701656077
97.0	13473.235257582424
98.0	7592.049374655496
99.0	2237.5635196573517
