#Transcript position	Transcript coverage profile
0.0	16209.768062118801
1.0	18690.021134782786
2.0	19805.745789761124
3.0	22065.00422243454
4.0	24901.425824586455
5.0	28497.789425273524
6.0	30869.275449364122
7.0	32319.446411316185
8.0	34336.44051048077
9.0	36115.3453454044
10.0	37126.21251028731
11.0	37641.70629706021
12.0	38544.530169966536
13.0	39147.58729149367
14.0	39033.65888809864
15.0	38972.36915727512
16.0	39220.665831185586
17.0	39646.89405930646
18.0	39601.37884731117
19.0	39565.002718672324
20.0	39619.970042481014
21.0	39516.8694236098
22.0	39742.77477540469
23.0	40003.19883102541
24.0	39103.22719159959
25.0	38375.43616226522
26.0	38257.98284837146
27.0	38080.296428245645
28.0	38097.83126584314
29.0	37863.38876940016
30.0	38101.4072140677
31.0	38273.9592276037
32.0	38485.88331822225
33.0	38624.520309548985
34.0	38604.94076521951
35.0	38658.13873827424
36.0	38632.68232809118
37.0	38507.96705446572
38.0	38596.39923759312
39.0	38116.55905193601
40.0	37798.20405486953
41.0	37675.509488425334
42.0	37380.65447708044
43.0	37472.672493879334
44.0	37491.857446005226
45.0	37358.30694124403
46.0	37097.913351462295
47.0	37179.27617656585
48.0	36912.40726158206
49.0	36692.13381414098
50.0	36184.123231101126
51.0	35940.76637365308
52.0	35639.77321665784
53.0	35720.106731575455
54.0	35817.85946088217
55.0	35863.36973279974
56.0	35672.81060753992
57.0	35818.079947546226
58.0	35593.73086320786
59.0	35252.86845171905
60.0	35187.73971827503
61.0	34790.09339895681
62.0	34541.551152719585
63.0	34208.371325490494
64.0	34076.26138644496
65.0	33581.675255105525
66.0	33344.94406481783
67.0	33373.77380912318
68.0	33317.131412524795
69.0	33368.299706881226
70.0	33320.40191490538
71.0	33618.11023942191
72.0	33939.788226124736
73.0	33826.41316630842
74.0	33863.63757211873
75.0	33564.98975255276
76.0	33707.16498157489
77.0	34020.11952426671
78.0	33814.51343797532
79.0	33847.360930745184
80.0	33292.55188759972
81.0	33274.75992864232
82.0	32924.43286568805
83.0	32175.536376857075
84.0	31265.76915461443
85.0	31055.08214225707
86.0	31031.67673718691
87.0	30580.4415836944
88.0	30416.323196757017
89.0	29664.63725289136
90.0	29034.737537340305
91.0	28674.35440644815
92.0	28117.277569490914
93.0	27459.96545948284
94.0	25936.419259001552
95.0	22737.618993415297
96.0	18425.55387658327
97.0	13058.048169940164
98.0	7350.890757017063
99.0	2166.426715105339
